#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"17,614,135","+111,365","303,059","+1,471","15,554,725","+90,600","1,756,351","28,208",,,,,,Asia,,,
,North America,"17,818,636","+219,799","430,335","+2,008","10,820,202","+148,069","6,568,099","31,205",,,,,,North America,,,
,South America,"11,576,165","+38,550","333,254",+847,"10,301,829","+45,835","941,082","16,813",,,,,,South America,,,
,Europe,"18,622,724","+156,565","428,495","+3,818","8,349,772","+133,624","9,844,457","27,481",,,,,,Europe,,,
,Africa,"2,287,238","+10,651","54,209",+247,"1,947,529","+10,823","285,500","2,528",,,,,,Africa,,,
,Oceania,"45,935",+8,"1,021",,"33,157",+4,"11,757",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"67,965,554","+536,938","1,550,388","+8,391","47,007,920","+428,955","19,407,246","106,260","8,719",198.9,,,,All,,,
1,China,"86,634",+15,"4,634",,"81,719",+13,281,6,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,614","310,601",9
2,USA,"15,383,588","+200,570","290,501","+1,566","8,983,853","+126,747","6,109,234","26,455","46,356",875,"209,500,446","631,302","331,854,504",North America,22,"1,142",2
3,India,"9,703,908","+27,107","140,994",+404,"9,177,645","+39,474","385,269","8,944","7,002",102,"147,787,656","106,634","1,385,937,994",Asia,143,"9,830",9
4,Brazil,"6,628,065","+24,525","177,388",+426,"5,801,067","+24,885","649,610","8,318","31,085",832,"25,700,000","120,532","213,221,820",South America,32,"1,202",8
5,Russia,"2,488,912","+28,142","43,597",+456,"1,956,588","+18,850","488,727","2,300","17,052",299,"79,700,000","546,032","145,962,052",Europe,59,"3,348",2
6,France,"2,295,908","+3,411","55,861",+480,"170,285",+699,"2,069,762","3,198","35,139",855,"21,145,554","323,638","65,337,099",Europe,28,"1,170",3
7,Italy,"1,742,552","+13,715","60,606",+528,"933,132","+19,638","748,814","3,382","28,839","1,003","23,236,881","384,573","60,422,565",Europe,35,997,3
8,UK,"1,737,959","+14,717","61,417",+172,,,,"1,274","25,542",903,"45,826,753","673,501","68,042,600",Europe,39,"1,108",1
9,Spain,"1,715,700","+6,255","46,646",+132,,,,"2,371","36,689",998,"24,101,272","515,395","46,762,763",Europe,27,"1,003",2
10,Argentina,"1,466,309","+3,199","39,888",+118,"1,300,696","+6,004","125,725","3,723","32,314",879,"4,111,139","90,599","45,377,256",South America,31,"1,138",11
11,Colombia,"1,377,100","+5,997","37,995",+187,"1,267,595","+10,185","71,510","2,376","26,939",743,"6,775,084","132,533","51,119,899",South America,37,"1,345",8
12,Germany,"1,200,006","+15,161","19,539",+380,"863,300","+16,900","317,167","4,179","14,303",233,"29,141,172","347,325","83,901,788",Europe,70,"4,294",3
13,Mexico,"1,175,850","+7,455","109,717",+261,"866,186","+6,723","199,947","3,363","9,078",847,"3,016,042","23,285","129,524,815",North America,110,"1,181",43
14,Poland,"1,067,868","+4,421","20,181",+92,"722,446","+15,726","325,241","1,886","28,229",533,"6,456,364","170,675","37,828,312",Europe,35,"1,874",6
15,Iran,"1,051,374","+10,827","50,594",+284,"742,955","+12,157","257,825","5,796","12,448",599,"6,432,228","76,155","84,461,844",Asia,80,"1,669",13
16,Peru,"975,116","+1,204","36,324",+50,"909,389","+1,735","29,403","1,012","29,396","1,095","5,179,331","156,136","33,171,970",South America,34,913,6
17,Turkey,"860,432","+32,137","15,103",+203,"436,270","+5,017","409,059","5,836","10,154",178,"19,888,747","234,715","84,735,628",Asia,98,"5,611",4
18,Ukraine,"821,947","+8,641","13,733",+145,"423,704","+5,123","384,510",177,"18,845",315,"4,807,961","110,231","43,617,310",Europe,53,"3,176",9
19,South Africa,"817,878","+3,313","22,249",+43,"745,750",+970,"49,879",546,"13,715",373,"5,611,915","94,105","59,634,888",Africa,73,"2,680",11
20,Belgium,"591,756","+1,814","17,320",+66,"39,267",+82,"535,169",739,"50,962","1,492","6,105,524","525,804","11,611,788",Europe,20,670,2
21,Indonesia,"581,550","+5,754","17,867",+127,"479,202","+4,431","84,481",,"2,116",65,"6,059,415","22,051","274,787,687",Asia,473,"15,380",45
22,Iraq,"566,015","+1,815","12,460",+28,"495,725","+2,158","57,830",226,"13,937",307,"3,705,069","91,230","40,612,561",Asia,72,"3,259",11
23,Netherlands,"564,291","+7,067","9,704",+17,,,,491,"32,900",566,"5,077,285","296,025","17,151,563",Europe,30,"1,767",3
24,Chile,"562,142","+1,760","15,663",+35,"536,267","+1,478","10,212",657,"29,296",816,"5,576,517","290,625","19,188,045",South America,34,"1,225",3
25,Czechia,"551,070","+4,237","9,036",+134,"484,781","+6,687","57,253",576,"51,417",843,"3,217,762","300,228","10,717,730",Europe,19,"1,186",3
26,Romania,"517,236","+3,660","12,447",+127,"409,121","+3,509","95,668","1,280","26,966",649,"4,264,272","222,320","19,180,782",Europe,37,"1,541",4
27,Bangladesh,"479,743","+2,198","6,874",+36,"398,623","+2,663","74,246",,"2,900",42,"2,877,538","17,397","165,406,860",Asia,345,"24,063",57
28,Philippines,"441,385","+1,560","8,572",+18,"408,651",+29,"24,162","1,401","4,005",78,"6,017,141","54,594","110,216,905",Asia,250,"12,858",18
29,Canada,"423,054","+7,872","12,777",+112,"338,735","+9,597","71,542",530,"11,166",337,"12,069,537","318,567","37,887,014",North America,90,"2,965",3
30,Pakistan,"420,294","+3,795","8,398",+37,"356,542","+1,530","55,354","2,539","1,887",38,"5,794,242","26,012","222,751,400",Asia,530,"26,524",38
31,Morocco,"381,188","+1,531","6,320",+75,"334,269","+2,968","40,599",937,"10,274",170,"4,086,436","110,142","37,101,541",Africa,97,"5,870",9
32,Saudi Arabia,"358,922",+209,"5,977",+12,"349,168",+289,"3,777",577,"10,240",171,"9,903,864","282,566","35,049,731",Asia,98,"5,864",4
33,Switzerland,"354,306","+9,809","5,495",+146,"279,900","+19,300","68,911",454,"40,808",633,"2,896,303","333,585","8,682,364",Europe,25,"1,580",3
34,Israel,"346,797","+1,891","2,924",+7,"330,188",+820,"13,685",332,"37,705",318,"5,605,071","609,406","9,197,590",Asia,27,"3,146",2
35,Portugal,"325,071","+2,597","5,041",+78,"245,843","+2,788","74,187",513,"31,921",495,"4,805,677","471,905","10,183,564",Europe,31,"2,020",2
36,Austria,"305,693","+2,263","3,897",+57,"256,811","+4,046","44,985",616,"33,857",432,"3,262,088","361,292","9,028,954",Europe,30,"2,317",3
37,Sweden,"297,732","+3,319","7,174",+2,,,,249,"29,400",708,"3,457,247","341,393","10,126,894",Europe,34,"1,412",3
38,Hungary,"254,148","+3,870","5,984",+116,"74,283","+2,601","173,881",674,"26,338",620,"1,963,148","203,445","9,649,509",Europe,38,"1,613",5
39,Jordan,"244,069","+3,980","3,116",+60,"192,033","+4,589","48,920",403,"23,818",304,"2,709,571","264,415","10,247,428",Asia,42,"3,289",4
40,Nepal,"241,995","+1,014","1,614",+20,"227,433","+1,628","12,948",,"8,241",55,"1,790,739","60,984","29,364,264",Asia,121,"18,193",16
41,Serbia,"226,209","+6,557","2,005",+56,"31,536",,"192,668",283,"25,936",230,"1,915,643","219,639","8,721,797",Europe,39,"4,350",5
42,Ecuador,"198,244",+246,"13,780",+2,"174,188",,"10,276",357,"11,163",776,"672,954","37,892","17,759,643",South America,90,"1,289",26
