#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"17,732,207","+118,072","304,755","+1,642","15,661,103","+106,378","1,766,349","28,168",,,,,,Asia,,,
,North America,"18,047,716","+229,078","433,814","+3,506","10,945,348","+125,146","6,668,554","31,550",,,,,,North America,,,
,South America,"11,640,175","+64,010","334,466","+1,212","10,375,862","+74,033","929,847","16,790",,,,,,South America,,,
,Europe,"18,803,355","+180,155","433,873","+5,283","8,494,562","+144,790","9,874,920","27,306",,,,,,Europe,,,
,Africa,"2,300,244","+13,046","54,611",+402,"1,965,422","+17,893","280,211","2,528",,,,,,Africa,,,
,Oceania,"46,195",+260,"1,028",+7,"33,175",+18,"11,992",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"68,570,613","+604,621","1,562,562","+12,052","47,476,178","+468,258","19,531,873","106,367","8,797",200.5,,,,All,,,
1,China,"86,646",+12,"4,634",,"81,732",+13,280,6,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,612","310,601",9
2,USA,"15,594,601","+211,011","293,456","+2,982","9,089,702","+105,849","6,211,443","26,860","46,992",884,"211,208,183","636,438","331,859,797",North America,21,"1,131",2
3,India,"9,735,975","+32,067","141,398",+404,"9,214,806","+37,161","379,771","8,944","7,025",102,"148,814,055","107,371","1,385,975,035",Asia,142,"9,802",9
4,Brazil,"6,675,915","+47,850","178,184",+796,"5,854,709","+53,642","643,022","8,318","31,309",836,"25,700,000","120,529","213,225,942",South America,32,"1,197",8
5,Russia,"2,515,009","+26,097","44,159",+562,"1,981,526","+24,938","489,324","2,300","17,231",303,"80,095,220","548,739","145,962,223",Europe,58,"3,305",2
6,France,"2,309,621","+13,713","56,352",+491,"171,868","+1,583","2,081,401","3,088","35,349",862,"27,993,301","428,442","65,337,492",Europe,28,"1,159",2
7,Italy,"1,757,393","+14,841","61,240",+634,"958,629","+25,497","737,524","3,345","29,085","1,014","23,386,113","387,044","60,422,323",Europe,34,987,3
8,UK,"1,750,241","+12,282","62,033",+616,,,,"1,271","25,722",912,"46,047,237","676,732","68,043,572",Europe,39,"1,097",1
9,Spain,"1,720,587","+4,887","46,833",+187,,,,"2,371","36,794","1,002","24,101,272","515,394","46,762,812",Europe,27,999,2
10,Argentina,"1,469,919","+3,610","40,009",+121,"1,305,587","+4,891","124,323","3,715","32,392",882,"4,124,441","90,890","45,378,388",South America,31,"1,134",11
11,Colombia,"1,384,610","+7,510","38,158",+163,"1,278,326","+10,731","68,126","2,376","27,085",746,"6,814,795","133,306","51,121,380",South America,37,"1,340",8
12,Germany,"1,218,325","+18,319","20,161",+622,"881,900","+18,600","316,264","4,257","14,521",240,"29,141,172","347,322","83,902,518",Europe,69,"4,162",3
13,Mexico,"1,182,249","+6,399","110,074",+357,"873,555","+7,369","198,620","3,279","9,127",850,"3,023,227","23,340","129,528,514",North America,110,"1,177",43
14,Poland,"1,076,178","+8,310","20,592",+411,"738,845","+16,399","316,741","1,835","28,449",544,"6,506,710","172,007","37,828,199",Europe,35,"1,837",6
15,Iran,"1,062,397","+11,023","50,917",+323,"754,224","+11,269","257,256","5,780","12,578",603,"6,477,718","76,691","84,464,781",Asia,80,"1,659",13
16,Peru,"976,621","+1,505","36,401",+77,"911,113","+1,724","29,107","1,010","29,440","1,097","5,195,499","156,617","33,173,225",South America,34,911,6
17,Turkey,"893,630","+33,198","15,314",+211,"441,515","+5,245","436,801","5,882","10,546",181,"20,089,966","237,083","84,738,106",Asia,95,"5,533",4
18,Ukraine,"832,758","+10,811","13,928",+195,"436,564","+12,860","382,266",177,"19,093",319,"4,838,979","110,944","43,616,596",Europe,52,"3,132",9
19,South Africa,"821,889","+4,011","22,432",+183,"753,072","+7,322","46,385",546,"13,782",376,"5,640,042","94,573","59,636,931",Africa,73,"2,659",11
20,Belgium,"592,615",+859,"17,386",+66,"39,938",+671,"535,291",723,"51,035","1,497","6,116,392","526,734","11,611,926",Europe,20,668,2
21,Indonesia,"586,842","+5,292","18,000",+133,"483,497","+4,295","85,345",,"2,136",66,"6,112,234","22,243","274,795,584",Asia,468,"15,266",45
22,Netherlands,"570,437","+6,146","9,775",+71,,,,487,"33,258",570,"5,077,285","296,023","17,151,667",Europe,30,"1,755",3
23,Iraq,"568,138","+2,123","12,477",+17,"498,064","+2,339","57,597",212,"13,988",307,"3,736,860","92,007","40,615,033",Asia,71,"3,255",11
24,Chile,"563,534","+1,392","15,680",+17,"537,727","+1,460","10,127",655,"29,368",817,"5,604,702","292,087","19,188,492",South America,34,"1,224",3
25,Czechia,"556,927","+5,848","9,136",+100,"489,759","+4,978","58,032",550,"51,963",852,"3,242,280","302,514","10,717,784",Europe,19,"1,173",3
26,Romania,"524,675","+7,439","12,660",+213,"416,797","+7,676","95,218","1,276","27,355",660,"4,293,672","223,857","19,180,434",Europe,37,"1,515",4
27,Bangladesh,"481,945","+2,202","6,906",+32,"401,194","+2,571","73,845",,"2,914",42,"2,894,622","17,500","165,411,340",Asia,343,"23,952",57
28,Philippines,"442,777","+1,392","8,670",+98,"408,786",+135,"25,321","1,401","4,017",79,"6,046,742","54,860","110,220,891",Asia,249,"12,713",18
29,Canada,"429,035","+5,981","12,867",+90,"344,200","+5,465","71,968",530,"11,324",340,"12,147,827","320,625","37,887,917",North America,88,"2,945",3
30,Pakistan,"423,179","+2,885","8,487",+89,"370,474","+13,932","44,218","2,486","1,900",38,"5,827,852","26,162","222,763,138",Asia,526,"26,248",38
31,Morocco,"384,088","+2,900","6,370",+50,"337,719","+3,450","39,999",961,"10,352",172,"4,103,482","110,598","37,102,736",Africa,97,"5,825",9
