#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"18,872,094","+114,232","309,355","+1,481","17,026,980","+117,085","1,535,759","28,188",,,,,,Asia,,,
,North America,"18,855,944","+272,534","446,039","+3,940","11,419,413","+193,005","6,990,492","32,337",,,,,,North America,,,
,South America,"11,861,244","+75,017","338,223","+1,096","10,534,450","+41,687","988,571","16,631",,,,,,South America,,,
,Europe,"19,458,989","+223,297","450,055","+5,495","9,000,393","+153,823","10,008,541","26,888",,,,,,Europe,,,
,Africa,"2,358,673","+19,355","55,756",+399,"2,003,870","+12,529","299,047","2,549",,,,,,Africa,,,
,Oceania,"46,549",+135,"1,034",+1,"33,198",+4,"12,317",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"71,454,214","+704,570","1,600,477","+12,412","50,019,010","+518,133","19,834,727","106,618","9,167",205.3,,,,All,,,
1,China,"86,688",+15,"4,634",,"81,762",+8,292,5,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,603","310,601",9
2,USA,"16,329,068","+247,737","302,773","+3,042","9,507,476","+174,300","6,518,819","27,324","49,202",912,"217,192,697","654,440","331,875,677",North America,20,"1,096",2
3,India,"9,827,026","+30,034","142,662",+440,"9,323,792","+33,604","360,572","8,944","7,090",103,"151,632,223","109,396","1,386,086,156",Asia,141,"9,716",9
4,Brazil,"6,836,313","+52,770","180,453",+652,"5,954,745","+22,968","701,115","8,318","32,059",846,"25,700,000","120,522","213,238,308",South America,31,"1,182",8
5,Russia,"2,597,711","+28,585","45,893",+613,"2,059,840","+26,171","491,978","2,300","17,797",314,"81,564,365","558,803","145,962,734",Europe,56,"3,181",2
6,France,"2,351,372","+13,406","57,567",+412,"175,891","+1,233","2,117,914","2,884","35,987",881,"28,508,991","436,326","65,338,673",Europe,28,"1,135",2
7,UK,"1,809,454","+21,671","63,507",+425,,,,"1,267","26,591",933,"47,141,344","692,781","68,046,489",Europe,38,"1,071",1
8,Italy,"1,805,872","+18,726","63,387",+761,"1,052,163","+24,169","690,322","3,265","29,888","1,049","23,866,590","395,001","60,421,597",Europe,33,953,3
9,Turkey,"1,780,673","+32,106","15,977",+226,"1,543,047","+32,516","221,649","5,952","21,012",189,"20,709,452","244,372","84,745,541",Asia,48,"5,304",4
10,Spain,"1,741,439","+7,053","47,624",+280,,,,"2,100","37,240","1,018","24,101,272","515,392","46,762,960",Europe,27,982,2
11,Argentina,"1,489,328","+7,112","40,606",+175,"1,324,792","+6,605","123,930","3,620","32,818",895,"4,210,197","92,773","45,381,784",South America,30,"1,118",11
12,Colombia,"1,408,909","+8,998","38,669",+185,"1,304,299","+7,879","65,941","2,376","27,558",756,"6,968,618","136,303","51,125,823",South America,36,"1,322",7
13,Germany,"1,298,776","+28,344","21,820",+587,"942,100","+20,000","334,856","4,432","15,479",260,"30,494,036","363,437","83,904,708",Europe,65,"3,845",3
14,Mexico,"1,217,126","+11,897","112,326",+671,"896,130","+6,962","208,670","3,515","9,396",867,"3,118,237","24,072","129,539,611",North America,106,"1,153",42
15,Poland,"1,115,203","+13,112","22,174",+544,"815,356","+23,237","277,673","1,766","29,481",586,"6,620,376","175,013","37,827,861",Europe,34,"1,706",6
16,Iran,"1,092,617","+9,594","51,728",+233,"787,853","+9,686","253,036","5,768","12,934",612,"6,611,783","78,270","84,473,593",Asia,77,"1,633",13
17,Peru,"980,943","+1,832","36,544",+45,"916,249","+1,649","28,150","1,016","29,567","1,101","5,232,485","157,714","33,176,991",South America,34,908,6
18,Ukraine,"872,228","+13,514","14,755",+285,"480,348","+15,327","377,125",177,"19,999",338,"4,957,299","113,662","43,614,454",Europe,50,"2,956",9
19,South Africa,"845,083","+8,319","22,952",+205,"758,373","+1,702","63,758",546,"14,169",385,"5,779,544","96,902","59,643,060",Africa,71,"2,599",10
20,Indonesia,"605,243","+6,310","18,511",+175,"496,886","+4,911","89,846",,"2,202",67,"6,271,943","22,822","274,819,278",Asia,454,"14,846",44
21,Belgium,"600,397","+2,754","17,692",+89,"40,789",+248,"541,916",657,"51,703","1,524","6,231,437","536,622","11,612,338",Europe,19,656,2
22,Netherlands,"594,523","+8,838","9,966",+64,,,,486,"34,662",581,"5,077,285","296,017","17,151,977",Europe,29,"1,721",3
23,Iraq,"572,600","+1,347","12,549",+23,"503,897","+1,930","56,154",197,"14,096",309,"3,837,024","94,456","40,622,450",Asia,71,"3,237",11
24,Czechia,"569,220","+5,869","9,396",+102,"502,735",+436,"57,089",550,"53,109",877,"3,294,949","307,424","10,717,947",Europe,19,"1,141",3
25,Chile,"567,974","+1,534","15,782",+8,"541,345","+1,057","10,847",663,"29,598",822,"5,686,946","296,352","19,189,836",South America,34,"1,216",3
26,Romania,"545,567","+6,460","13,116",+168,"443,168","+8,489","89,283","1,299","28,445",684,"4,386,813","228,725","19,179,387",Europe,35,"1,462",4
27,Bangladesh,"487,849","+1,884","6,986",+19,"414,318","+3,866","66,545",,"2,949",42,"2,944,252","17,798","165,424,778",Asia,339,"23,679",56
28,Canada,"448,841","+6,772","13,251",+142,"362,293","+6,558","73,297",596,"11,846",350,"12,399,310","327,240","37,890,626",North America,84,"2,859",3
29,Philippines,"447,030","+1,495","8,695",,"409,322",+266,"29,013","1,401","4,055",79,"6,154,475","55,832","110,232,847",Asia,247,"12,678",18
