#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
35,Portugal,"307,618","+3,772","4,724",+79,"229,018","+5,572","73,876",525,"30,206",464,"4,640,505","455,671","10,183,888",Europe,33,"2,156",2
36,Austria,"293,430","+3,969","3,538",+92,"238,127","+4,470","51,765",668,"32,501",392,"3,180,666","352,296","9,028,394",Europe,31,"2,552",3
37,Sweden,"278,912","+5,477","7,047",+2,,,,249,"27,544",696,"3,457,247","341,416","10,126,207",Europe,36,"1,437",3
38,Nepal,"237,589","+1,343","1,551",+13,"220,272","+2,111","15,766",,"8,093",53,"1,763,919","60,082","29,358,529",Asia,124,"18,929",17
39,Hungary,"231,844","+6,635","5,324",+182,"67,033","+1,145","159,487",663,"24,026",552,"1,876,274","194,437","9,649,776",Europe,42,"1,813",5
40,Jordan,"231,237","+4,029","2,909",+55,"173,369","+4,940","54,959",426,"22,568",284,"2,627,156","256,400","10,246,322",Asia,44,"3,522",4
41,Serbia,"199,158","+7,802","1,765",+61,"31,536",,"165,857",288,"22,834",202,"1,844,731","211,499","8,722,180",Europe,44,"4,942",5
42,Ecuador,"195,884","+1,008","13,612",+50,"169,804",,"12,468",350,"11,032",767,"662,183","37,292","17,756,714",South America,91,"1,304",27
43,UAE,"172,751","+1,317",585,+5,"157,035",+655,"15,131",,"17,377",59,"17,126,504","1,722,772","9,941,250",Asia,58,"16,994",1
44,Panama,"171,219","+1,880","3,141",+27,"148,396","+1,820","19,682",161,"39,419",723,"942,262","216,933","4,343,567",North America,25,"1,383",5
45,Bulgaria,"155,193","+3,280","4,503",+156,"57,141","+1,935","93,549",523,"22,408",650,"999,867","144,368","6,925,803",Europe,45,"1,538",7
46,Japan,"152,827","+2,441","2,213",+41,"129,241","+1,937","21,373",497,"1,210",18,"3,636,512","28,790","126,309,474",Asia,826,"57,076",35
47,Georgia,"147,636","+4,260","1,387",+45,"124,568","+2,947","21,681",,"37,040",348,"1,207,234","302,879","3,985,868",Asia,27,"2,874",3
48,Dominican Republic,"146,009",+812,"2,335",+1,"115,992",+381,"27,682",183,"13,402",214,"732,425","67,230","10,894,288",North America,75,"4,666",15
49,Bolivia,"144,994",+184,"8,972",+9,"123,673","+1,178","12,349",71,"12,350",764,"364,199","31,020","11,740,674",South America,81,"1,309",32
