#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"18,636,803","+111,795","306,222","+1,467","16,442,392","+91,853","1,888,189","28,162",,,,,,Asia,,,
,North America,"18,297,912","+250,137","438,077","+4,264","11,101,442","+156,094","6,758,393","32,035",,,,,,North America,,,
,South America,"11,711,421","+71,246","335,786","+1,320","10,442,210","+66,348","933,425","16,785",,,,,,South America,,,
,Europe,"19,008,081","+205,050","438,843","+4,944","8,675,801","+177,494","9,893,437","26,991",,,,,,Europe,,,
,Africa,"2,320,386","+19,805","54,965",+348,"1,977,560","+11,978","287,861","2,535",,,,,,Africa,,,
,Oceania,"46,283",+88,"1,032",+4,"33,188",+13,"12,063",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"70,021,607","+658,121","1,574,940","+12,347","48,673,299","+503,780","19,773,368","106,533","8,983",202.1,,,,All,,,
1,China,"86,661",+15,"4,634",,"81,743",+11,284,5,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,609","310,601",9
2,USA,"15,821,614","+226,953","296,719","+3,264","9,227,533","+137,831","6,297,362","27,329","47,675",894,"213,114,164","642,171","331,865,090",North America,21,"1,118",2
3,India,"9,762,326","+26,351","141,735",+337,"9,244,505","+29,699","376,086","8,944","7,043",102,"149,836,767","108,106","1,386,012,075",Asia,142,"9,779",9
4,Brazil,"6,730,118","+54,203","179,032",+848,"5,901,511","+46,802","649,575","8,318","31,563",840,"25,700,000","120,527","213,230,064",South America,32,"1,191",8
5,Russia,"2,541,199","+26,190","44,718",+559,"2,007,792","+26,266","488,689","2,300","17,410",306,"80,522,238","551,664","145,962,393",Europe,57,"3,264",2
6,France,"2,324,216","+14,595","56,648",+296,"173,247","+1,379","2,094,321","3,041","35,572",867,"28,023,593","428,903","65,337,886",Europe,28,"1,153",2
7,Italy,"1,770,148","+12,755","61,739",+499,"997,895","+39,266","710,514","3,320","29,296","1,022","23,504,588","389,007","60,422,081",Europe,34,979,3
8,UK,"1,766,819","+16,578","62,566",+533,,,,"1,272","25,966",919,"46,344,703","681,094","68,044,545",Europe,39,"1,088",1
9,Spain,"1,729,791","+4,531","47,019",+186,,,,"2,179","36,991","1,005","24,101,272","515,393","46,762,862",Europe,27,995,2
10,Turkey,"1,718,143","+31,712","15,531",+217,"1,142,199","+11,248","560,413","5,901","20,275",183,"20,294,377","239,488","84,740,585",Asia,49,"5,456",4
11,Argentina,"1,475,222","+5,303","40,222",+213,"1,311,488","+5,901","123,512","3,688","32,509",886,"4,145,226","91,346","45,379,520",South America,31,"1,128",11
12,Colombia,"1,392,133","+7,523","38,308",+150,"1,287,597","+9,271","66,228","2,376","27,231",749,"6,855,035","134,089","51,122,861",South America,37,"1,335",7
13,Germany,"1,242,253","+23,928","20,704",+543,"902,100","+20,200","319,449","4,257","14,806",247,"29,141,172","347,319","83,903,248",Europe,68,"4,053",3
14,Mexico,"1,193,255","+11,006","110,874",+800,"881,050","+7,495","201,331","3,279","9,212",856,"3,053,713","23,575","129,532,213",North America,109,"1,168",42
15,Poland,"1,088,347","+12,169","21,160",+568,"768,241","+29,396","298,946","1,800","28,771",559,"6,547,891","173,096","37,828,086",Europe,35,"1,788",6
16,Iran,"1,072,620","+10,223","51,212",+295,"765,639","+11,415","255,769","5,779","12,699",606,"6,523,409","77,230","84,467,718",Asia,79,"1,649",13
17,Peru,"977,312",+691,"36,455",+54,"912,501","+1,388","28,356","1,016","29,460","1,099","5,204,299","156,877","33,174,480",South America,34,910,6
18,Ukraine,"845,343","+12,585","14,204",+276,"451,118","+14,554","380,021",177,"19,382",326,"4,838,979","110,945","43,615,882",Europe,52,"3,071",9
19,South Africa,"828,598","+6,709","22,574",+142,"754,658","+1,586","51,366",546,"13,894",379,"5,690,263","95,412","59,638,974",Africa,72,"2,642",10
20,Belgium,"594,572","+1,957","17,507",+121,"40,258",+320,"536,807",676,"51,203","1,508","6,145,774","529,258","11,612,063",Europe,20,663,2
21,Indonesia,"592,900","+6,058","18,171",+171,"487,445","+3,948","87,284",,"2,158",66,"6,168,268","22,446","274,803,482",Asia,463,"15,123",45
22,Netherlands,"576,965","+6,528","9,841",+66,,,,476,"33,639",574,"5,077,285","296,021","17,151,770",Europe,30,"1,743",3
23,Iraq,"569,873","+1,735","12,501",+24,"499,846","+1,782","57,526",212,"14,030",308,"3,769,232","92,798","40,617,505",Asia,71,"3,249",11
24,Chile,"564,778","+1,244","15,690",+10,"539,171","+1,444","9,917",667,"29,432",818,"5,626,894","293,236","19,188,940",South America,34,"1,223",3
25,Czechia,"556,931","+5,852","9,188",+78,"493,788",+284,"53,955",550,"51,963",857,"3,246,702","302,925","10,717,838",Europe,19,"1,167",3
26,Romania,"532,040","+7,365","12,821",+161,"425,816","+9,019","93,403","1,271","27,739",668,"4,325,130","225,501","19,180,085",Europe,36,"1,496",4
27,Bangladesh,"484,104","+2,159","6,930",+24,"405,966","+4,772","71,208",,"2,927",42,"2,911,664","17,602","165,415,819",Asia,342,"23,870",57
28,Philippines,"444,157","+1,380","8,677",+7,"408,925",+139,"26,555","1,401","4,030",79,"6,082,553","55,183","110,224,876",Asia,248,"12,703",18
29,Canada,"435,330","+6,295","12,983",+116,"350,011","+5,811","72,336",530,"11,490",343,"12,226,406","322,692","37,888,820",North America,87,"2,918",3
30,Pakistan,"426,142","+2,963","8,547",+60,"372,271","+1,797","45,324","2,498","1,913",38,"5,865,944","26,331","222,774,877",Asia,523,"26,065",38
31,Morocco,"388,184","+4,096","6,427",+57,"341,685","+3,966","40,072",945,"10,462",173,"4,122,663","111,111","37,103,931",Africa,96,"5,773",9
32,Switzerland,"363,654","+5,086","5,710",+117,"283,000","+3,100","74,944",454,"41,883",658,"2,952,909","340,091","8,682,709",Europe,24,"1,521",3
33,Saudi Arabia,"359,274",+159,"6,002",+13,"349,624",+210,"3,648",550,"10,250",171,"9,990,424","285,012","35,052,696",Asia,98,"5,840",4
34,Israel,"350,271","+1,986","2,934",+2,"332,089","+1,034","15,248",316,"38,083",319,"5,605,071","609,406","9,197,590",Asia,26,"3,135",2
35,Portugal,"332,073","+4,097","5,192",+70,"254,700","+2,272","72,181",504,"32,609",510,"4,805,677","471,913","10,183,403",Europe,31,"1,961",2
36,Sweden,"312,728","+7,084","7,333",+4,,,,252,"30,880",724,"3,457,247","341,381","10,127,237",Europe,32,"1,381",3
37,Austria,"311,002","+2,932","4,056",+54,"265,815","+3,501","41,131",610,"34,444",449,"3,302,082","365,710","9,029,235",Europe,29,"2,226",3
38,Hungary,"259,588","+3,221","6,280",+160,"76,270",+989,"177,038",661,"26,902",651,"2,187,555","226,704","9,649,376",Europe,37,"1,537",4
39,Jordan,"250,219","+3,088","3,206",+44,"202,058","+5,000","44,955",392,"24,416",313,"2,755,299","268,863","10,247,981",Asia,41,"3,197",4
40,Nepal,"244,433","+1,056","1,651",+14,"230,537","+1,483","12,245",,"8,323",56,"1,805,972","61,496","29,367,131",Asia,120,"17,787",16
41,Serbia,"241,831","+7,804","2,116",+54,"31,536",,"208,179",319,"27,728",243,"1,958,473","224,554","8,721,606",Europe,36,"4,122",4
42,Ecuador,"199,228",+476,"13,814",+20,"174,188",,"11,226",348,"11,217",778,"676,955","38,114","17,761,108",South America,89,"1,286",26
43,Panama,"182,977","+1,811","3,264",+23,"156,870","+1,000","22,843",170,"42,115",751,"1,007,599","231,915","4,344,682",North America,24,"1,331",4
44,UAE,"180,150","+1,313",598,+2,"161,084",+789,"18,468",,"18,118",60,"17,799,178","1,790,084","9,943,209",Asia,55,"16,627",1
45,Georgia,"174,383","+4,734","1,614",+38,"145,287","+3,895","27,482",,"43,752",405,"1,627,020","408,210","3,985,743",Asia,23,"2,469",2
46,Bulgaria,"171,493","+3,328","5,283",+127,"72,078","+3,050","94,132",544,"24,765",763,"1,041,360","150,378","6,924,950",Europe,40,"1,311",7
47,Japan,"165,840","+1,911","2,420",+38,"140,622","+1,628","22,798",555,"1,313",19,"3,842,524","30,423","126,303,155",Asia,762,"52,191",33
48,Croatia,"159,372","+4,520","2,367",+69,"133,255","+2,386","23,750",280,"38,929",578,"837,619","204,601","4,093,907",Europe,26,"1,730",5
49,Azerbaijan,"158,555","+4,403","1,755",+42,"96,330","+2,919","60,470",,"15,576",172,"1,884,578","185,131","10,179,673",Asia,64,"5,800",5
50,Belarus,"152,453","+1,851","1,230",+8,"129,950","+2,422","21,273",,"16,136",130,"3,487,468","369,125","9,447,935",Europe,62,"7,681",3
51,Dominican Republic,"150,161",+531,"2,350",+3,"118,008",+204,"29,803",213,"13,781",216,"766,071","70,307","10,896,070",North America,73,"4,637",14
52,Costa Rica,"148,688","+1,258","1,864",+18,"107,624","+1,938","39,200",226,"29,071",364,"419,572","82,032","5,114,728",North America,34,"2,744",12
53,Bolivia,"145,846",+189,"9,002",+5,"125,230",+249,"11,614",71,"12,420",767,"370,846","31,579","11,743,285",South America,81,"1,305",32
54,Kuwait,"145,204",+304,905,+5,"140,989",+351,"3,310",79,"33,781",211,"1,158,859","269,602","4,298,412",Asia,30,"4,750",4
55,Armenia,"144,066","+1,138","2,393",+21,"120,532","+1,385","21,141",,"48,577",807,"535,833","180,676","2,965,712",Asia,21,"1,239",6
56,Lebanon,"140,409","+1,274","1,156",+20,"94,042",+942,"45,211",365,"20,613",170,"1,728,980","253,823","6,811,748",Asia,49,"5,893",4
57,Qatar,"140,353",+150,240,+1,"137,881",+173,"2,232",27,"49,987",85,"1,149,684","409,460","2,807,805",Asia,20,"11,699",2
58,Kazakhstan,"138,382",+729,"2,088",,"122,291",+944,"14,003",221,"7,331",111,"4,795,216","254,038","18,875,968",Asia,136,"9,040",4
59,Guatemala,"127,127",+654,"4,311",+25,"115,931",+525,"6,885",5,"7,039",239,"566,458","31,363","18,061,152",North America,142,"4,190",32
60,Oman,"125,490",+165,"1,461",+7,"117,034",+314,"6,995",71,"24,304",283,"571,472","110,680","5,163,300",Asia,41,"3,534",9
61,Slovakia,"121,796","+2,564","1,084",+38,"89,769","+2,336","30,943",270,"22,304",199,"1,162,048","212,797","5,460,822",Europe,45,"5,038",5
62,Moldova,"120,970","+1,766","2,481",+21,"103,973","+1,408","14,516",265,"30,019",616,"492,499","122,215","4,029,769",Europe,33,"1,624",8
63,Greece,"119,720","+1,675","3,289",+95,"9,989",,"106,442",578,"11,511",316,"2,522,718","242,564","10,400,232",Europe,87,"3,162",4
64,Egypt,"119,702",+421,"6,832",+19,"104,074",+161,"8,796",46,"1,160",66,"1,000,000","9,692","103,181,996",Africa,862,"15,103",103
