#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"18,757,862","+121,059","307,880","+1,658","16,553,697","+111,305","1,896,285","28,242",,,,,,Asia,,,
,North America,"18,551,007","+253,095","442,106","+4,115","11,226,408","+124,966","6,882,493","32,301",,,,,,North America,,,
,South America,"11,786,227","+74,806","337,127","+1,341","10,492,763","+50,553","956,337","16,693",,,,,,South America,,,
,Europe,"19,235,682","+226,279","444,550","+5,423","8,841,752","+162,446","9,949,380","26,912",,,,,,Europe,,,
,Africa,"2,339,318","+18,932","55,357",+392,"1,991,341","+13,781","292,620","2,534",,,,,,Africa,,,
,Oceania,"46,414",+131,"1,033",+1,"33,194",+6,"12,187",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"70,717,231","+694,302","1,588,068","+12,930","49,139,861","+463,057","19,989,302","106,707","9,072",203.7,,,,All,,,
1,China,"86,673",+12,"4,634",,"81,754",+11,285,5,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,606","310,601",9
2,USA,"16,048,928","+227,314","299,738","+3,105","9,333,176","+105,643","6,416,014","27,352","48,359",903,"215,121,444","648,209","331,870,384",North America,21,"1,107",2
3,India,"9,796,992","+34,666","142,222",+487,"9,290,188","+45,683","364,582","8,944","7,068",103,"150,759,726","108,769","1,386,049,115",Asia,141,"9,746",9
4,Brazil,"6,783,543","+53,425","179,801",+769,"5,931,777","+30,266","671,965","8,318","31,813",843,"25,700,000","120,525","213,234,186",South America,31,"1,186",8
5,Russia,"2,569,126","+27,927","45,280",+562,"2,033,669","+25,877","490,177","2,300","17,601",310,"81,021,364","555,083","145,962,563",Europe,57,"3,224",2
6,France,"2,337,966","+13,750","57,155",+400,"174,658","+1,411","2,106,153","2,959","35,782",875,"28,282,874","432,868","65,338,279",Europe,28,"1,143",2
7,UK,"1,787,783","+20,964","63,082",+516,,,,"1,243","26,273",927,"46,730,999","686,761","68,045,517",Europe,38,"1,079",1
8,Italy,"1,787,146","+16,998","62,626",+887,"1,027,994","+30,099","696,526","3,291","29,578","1,036","23,676,174","391,848","60,421,839",Europe,34,965,3
9,Turkey,"1,748,567","+30,424","15,751",+220,"1,154,333","+12,134","578,483","5,943","20,634",186,"20,500,579","241,915","84,743,063",Asia,48,"5,380",4
10,Spain,"1,734,386","+4,595","47,344",+325,,,,"2,158","37,089","1,012","24,101,272","515,393","46,762,911",Europe,27,988,2
11,Argentina,"1,482,216","+6,994","40,431",+209,"1,318,187","+6,699","123,598","3,665","32,662",891,"4,173,392","91,964","45,380,652",South America,31,"1,122",11
12,Colombia,"1,399,911","+7,778","38,484",+176,"1,296,420","+8,823","65,007","2,376","27,382",753,"6,915,466","135,268","51,124,342",South America,37,"1,328",7
13,Germany,"1,270,432","+28,179","21,233",+529,"922,100","+20,000","327,099","4,339","15,141",253,"30,494,036","363,440","83,903,978",Europe,66,"3,952",3
14,Mexico,"1,205,229","+11,974","111,655",+781,"889,168","+8,118","204,406","3,515","9,304",862,"3,086,510","23,827","129,535,912",North America,107,"1,160",42
15,Poland,"1,102,091","+13,744","21,630",+470,"792,119","+23,878","288,342","1,775","29,134",572,"6,586,361","174,114","37,827,973",Europe,34,"1,749",6
16,Iran,"1,083,023","+10,403","51,495",+283,"778,167","+12,528","253,361","5,768","12,821",610,"6,568,472","77,760","84,470,655",Asia,78,"1,640",13
17,Peru,"979,111","+1,799","36,499",+44,"914,600","+2,099","28,012","1,019","29,513","1,100","5,217,086","157,256","33,175,736",South America,34,909,6
18,Ukraine,"858,714","+13,371","14,470",+266,"465,021","+13,903","379,223",177,"19,688",332,"4,838,979","110,947","43,615,168",Europe,51,"3,014",9
19,South Africa,"836,764","+8,166","22,747",+173,"756,671","+2,013","57,346",546,"14,030",381,"5,735,470","96,167","59,641,017",Africa,71,"2,622",10
20,Indonesia,"598,933","+6,033","18,336",+165,"491,975","+4,530","88,622",,"2,179",67,"6,200,252","22,562","274,811,380",Asia,459,"14,988",44
21,Belgium,"597,643","+3,071","17,603",+96,"40,541",+283,"539,499",662,"51,467","1,516","6,191,181","533,162","11,612,201",Europe,19,660,2
22,Netherlands,"585,685","+8,720","9,902",+61,,,,491,"34,147",577,"5,077,285","296,019","17,151,873",Europe,29,"1,732",3
23,Iraq,"571,253","+1,380","12,526",+25,"501,967","+2,121","56,760",218,"14,063",308,"3,803,674","93,640","40,619,977",Asia,71,"3,243",11
24,Chile,"566,440","+1,662","15,774",+84,"540,288","+1,117","10,378",671,"29,518",822,"5,659,403","294,924","19,189,388",South America,34,"1,217",3
25,Czechia,"563,341","+6,407","9,284",+75,"497,481",+188,"56,576",550,"52,561",866,"3,269,653","305,065","10,717,893",Europe,19,"1,154",3
