#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"16,753,801","+116,720","291,761","+1,592","14,893,146","+99,021","1,568,894","27,142",,,,,,Asia,,,
,North America,"16,209,317","+184,049","409,006","+1,615","9,936,514","+130,895","5,863,797","29,995",,,,,,North America,,,
,South America,"11,142,885","+39,748","325,518",+912,"9,961,871","+41,689","855,496","17,128",,,,,,South America,,,
,Europe,"17,263,331","+153,510","394,491","+4,044","7,297,419","+153,568","9,571,421","28,998",,,,,,Europe,,,
,Africa,"2,187,417","+10,353","52,083",+263,"1,853,303","+12,233","282,031","2,615",,,,,,Africa,,,
,Oceania,"45,089",+298,"1,017",+3,"33,071",+24,"11,001",24,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"63,602,561","+504,678","1,473,891","+8,429","43,975,983","+437,430","18,152,687","105,906","8,160",189.1,,,,All,,,
1,China,"86,530",+18,"4,634",,"81,619",+21,277,7,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,634","310,601",9
2,USA,"13,926,318","+166,873","274,365","+1,271","8,224,314","+116,168","5,427,639","25,307","41,970",827,"194,913,696","587,412","331,817,450",North America,24,"1,209",2
3,India,"9,463,254","+31,179","137,659",+482,"8,888,595","+42,282","437,000","8,944","6,829",99,"140,379,976","101,308","1,385,678,712",Asia,146,"10,066",10
4,Brazil,"6,336,278","+21,538","173,165",+317,"5,601,804","+23,686","561,309","8,318","29,721",812,"21,900,000","102,724","213,192,966",South America,34,"1,231",10
5,Russia,"2,295,654","+26,338","39,895",+368,"1,778,704","+17,247","477,055","2,300","15,728",273,"76,422,849","523,585","145,960,859",Europe,64,"3,659",2
6,France,"2,222,488","+4,005","53,040",+509,"162,281",+854,"2,007,167","3,751","34,017",812,"20,618,607","315,586","65,334,344",Europe,29,"1,232",3
7,Spain,"1,664,945","+6,659","45,069",+133,,,,"2,629","35,604",964,"22,992,742","491,693","46,762,418",Europe,28,"1,038",2
8,UK,"1,629,656","+12,329","58,448",+205,,,,"1,417","23,953",859,"43,479,023","639,061","68,035,793",Europe,42,"1,164",2
9,Italy,"1,601,551","+16,374","55,576",+672,"757,507","+23,004","788,468","3,744","26,505",920,"21,945,099","363,184","60,424,259",Europe,38,"1,087",3
10,Argentina,"1,424,533","+5,726","38,730",+257,"1,257,227","+7,384","128,576","4,062","31,399",854,"3,892,522","85,796","45,369,331",South America,32,"1,171",12
11,Colombia,"1,316,806","+8,430","36,766",+182,"1,210,489","+6,037","69,551","2,376","25,764",719,"6,429,234","125,793","51,109,532",South America,39,"1,390",8
12,Mexico,"1,107,071","+6,388","105,655",+196,"818,397","+5,143","183,019","3,335","8,549",816,"2,859,239","22,079","129,498,923",North America,117,"1,226",45
13,Germany,"1,069,763","+14,156","16,862",+329,"739,000","+16,700","313,901","3,926","12,751",201,"27,859,242","332,066","83,896,677",Europe,78,"4,975",3
14,Poland,"990,819","+5,741","17,150",+121,"577,514","+18,085","396,155","2,118","26,192",453,"6,236,988","164,873","37,829,102",Europe,38,"2,206",6
15,Peru,"963,605","+1,075","35,966",+43,"894,741","+1,680","32,898",965,"29,056","1,085","5,069,698","152,871","33,163,183",South America,34,922,7
16,Iran,"962,070","+13,321","48,246",+371,"668,151","+9,859","245,673","5,852","11,393",571,"6,125,348","72,540","84,441,283",Asia,88,"1,750",14
17,South Africa,"790,004","+2,302","21,535",+58,"731,242",+609,"37,227",546,"13,251",361,"5,383,078","90,289","59,620,588",Africa,75,"2,769",11
18,Ukraine,"732,625","+9,946","12,327",+114,"345,149","+5,771","375,149",177,"16,795",283,"4,528,772","103,818","43,622,309",Europe,60,"3,539",10
19,Turkey,"638,847","+31,219","13,746",+188,"404,727","+4,485","220,374","5,190","7,541",162,"18,592,292","219,460","84,718,281",Asia,133,"6,163",5
20,Belgium,"576,599","+2,151","16,547",+86,"37,383",+145,"522,669",906,"49,660","1,425","5,896,314","507,829","11,610,826",Europe,20,702,2
21,Iraq,"552,549","+2,114","12,258",+34,"482,674","+1,771","57,617",293,"13,611",302,"3,483,319","85,806","40,595,257",Asia,73,"3,312",12
22,Chile,"551,743","+1,313","15,410",+54,"526,604","+1,392","9,729",690,"28,759",803,"5,333,453","278,003","19,184,910",South America,35,"1,245",4
23,Indonesia,"538,883","+4,617","16,945",+130,"450,518","+4,725","71,420",,"1,961",62,"5,695,747","20,732","274,732,402",Asia,510,"16,213",48
24,Netherlands,"523,478","+4,568","9,376",+27,,,,512,"30,522",547,"4,043,482","235,760","17,150,840",Europe,33,"1,829",4
25,Czechia,"523,298","+3,575","8,295",+157,"451,607","+7,201","63,396",689,"48,827",774,"3,065,132","285,997","10,717,351",Europe,20,"1,292",3
26,Romania,"475,362","+3,826","11,331",+138,"353,188","+4,336","110,843","1,251","24,780",591,"4,107,567","214,123","19,183,223",Europe,40,"1,693",5
27,Bangladesh,"464,932","+2,525","6,644",+35,"380,711","+2,539","77,577",,"2,811",40,"2,772,701","16,766","165,375,504",Asia,356,"24,891",60
28,Philippines,"431,627","+1,770","8,391",+18,"398,647",+33,"24,589","1,401","3,917",76,"5,781,326","52,467","110,189,008",Asia,255,"13,132",19
29,Pakistan,"398,024","+2,839","8,025",+40,"341,423","+1,613","48,576","2,046","1,788",36,"5,508,810","24,740","222,669,232",Asia,559,"27,747",40
30,Canada,"378,139","+7,861","12,130",+98,"299,972","+5,561","66,037",492,"9,982",320,"11,475,642","302,942","37,880,692",North America,100,"3,123",3
