#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"16,877,632","+123,831","293,478","+1,717","14,989,622","+96,476","1,594,532","27,310",,,,,,Asia,,,
,North America,"16,409,625","+200,296","412,098","+3,092","10,059,760","+123,246","5,937,767","30,398",,,,,,North America,,,
,South America,"11,216,483","+73,598","326,731","+1,213","10,034,549","+72,678","855,203","17,025",,,,,,South America,,,
,Europe,"17,440,465","+176,807","400,312","+5,649","7,459,937","+154,841","9,580,216","28,646",,,,,,Europe,,,
,Africa,"2,198,197","+10,780","52,340",+257,"1,863,025","+9,722","282,832","2,619",,,,,,Africa,,,
,Oceania,"45,288",+199,"1,018",+1,"33,079",+8,"11,191",24,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"64,188,411","+585,511","1,485,992","+11,929","44,440,631","+456,971","18,261,788","106,026","8,235",190.6,,,,All,,,
1,China,"86,542",+12,"4,634",,"81,631",+12,277,8,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,632","310,601",9
2,USA,"14,110,514","+184,184","277,035","+2,670","8,333,745","+109,431","5,499,734","25,722","42,524",835,"198,258,153","597,482","331,822,744",North America,24,"1,198",2
3,India,"9,499,710","+36,456","138,159",+500,"8,931,798","+43,203","429,753","8,944","6,855",100,"141,349,298","102,005","1,385,715,753",Asia,146,"10,030",10
4,Brazil,"6,388,526","+52,248","173,862",+697,"5,656,498","+54,694","558,166","8,318","29,965",815,"25,700,000","120,546","213,197,088",South America,33,"1,226",8
5,Russia,"2,322,056","+26,402","40,464",+569,"1,803,467","+24,763","478,125","2,300","15,909",277,"76,755,901","525,866","145,961,030",Europe,63,"3,607",2
6,France,"2,230,571","+8,083","53,506",+466,"164,029","+1,748","2,013,036","3,605","34,141",819,"20,669,628","316,365","65,334,738",Europe,29,"1,221",3
7,Spain,"1,673,202","+8,257","45,511",+442,,,,"2,578","35,781",973,"22,992,742","491,692","46,762,467",Europe,28,"1,027",2
8,UK,"1,643,086","+13,430","59,051",+603,,,,"1,415","24,150",868,"43,729,581","642,735","68,036,766",Europe,41,"1,152",2
9,Italy,"1,620,901","+19,350","56,361",+785,"784,595","+27,088","779,945","3,663","26,825",933,"22,127,199","366,199","60,424,017",Europe,37,"1,072",3
10,Argentina,"1,432,570","+8,037","38,928",+198,"1,263,251","+6,024","130,391","3,946","31,575",858,"3,926,286","86,538","45,370,463",South America,32,"1,165",12
11,Colombia,"1,324,792","+7,986","36,934",+168,"1,217,647","+7,158","70,211","2,376","25,920",723,"6,479,003","126,763","51,111,013",South America,39,"1,384",8
12,Mexico,"1,113,543","+6,472","105,940",+285,"823,586","+5,189","184,017","3,335","8,599",818,"2,866,225","22,133","129,502,622",North America,116,"1,222",45
13,Germany,"1,085,661","+15,898","17,359",+497,"758,800","+19,800","309,502","3,926","12,940",207,"27,859,242","332,063","83,897,407",Europe,77,"4,833",3
14,Poland,"999,892","+9,073","17,599",+449,"597,589","+20,075","384,704","2,032","26,432",465,"6,275,392","165,888","37,828,989",Europe,38,"2,149",6
15,Iran,"975,951","+13,881","48,628",+382,"677,963","+9,812","249,360","5,840","11,557",576,"6,168,637","73,050","84,444,220",Asia,87,"1,737",14
16,Peru,"965,228","+1,623","36,031",+65,"896,978","+2,237","32,219",958,"29,104","1,086","5,085,775","153,350","33,164,438",South America,34,920,7
17,South Africa,"792,299","+2,295","21,644",+109,"732,531","+1,289","38,124",546,"13,289",363,"5,383,078","90,286","59,622,631",Africa,75,"2,755",11
18,Ukraine,"745,123","+12,498","12,548",+221,"355,172","+10,023","377,403",177,"17,082",288,"4,528,772","103,819","43,621,595",Europe,59,"3,476",10
19,Turkey,"668,957","+30,110","13,936",+190,"409,320","+4,593","245,701","5,303","7,896",164,"18,772,604","221,582","84,720,759",Asia,127,"6,079",5
20,Belgium,"577,345",+746,"16,645",+98,"37,474",+91,"523,226",900,"49,724","1,434","5,906,234","508,677","11,610,963",Europe,20,698,2
21,Iraq,"554,767","+2,218","12,306",+48,"484,570","+1,896","57,891",274,"13,665",303,"3,512,920","86,530","40,597,729",Asia,73,"3,299",12
22,Chile,"552,864","+1,121","15,430",+20,"528,034","+1,430","9,400",695,"28,817",804,"5,357,133","279,230","19,185,358",South America,35,"1,243",4
23,Indonesia,"543,975","+5,092","17,081",+136,"454,879","+4,361","72,015",,"1,980",62,"5,746,979","20,918","274,740,300",Asia,505,"16,085",48
24,Czechia,"528,474","+5,176","8,407",+112,"455,177","+3,570","64,890",689,"49,310",784,"3,085,514","287,897","10,717,406",Europe,20,"1,275",3
25,Netherlands,"527,523","+4,045","9,438",+62,,,,501,"30,758",550,"4,043,482","235,759","17,150,944",Europe,33,"1,817",4
26,Romania,"479,634","+4,272","11,530",+199,"360,934","+7,746","107,170","1,259","25,003",601,"4,122,192","214,889","19,182,875",Europe,40,"1,664",5
27,Bangladesh,"467,225","+2,293","6,675",+31,"383,224","+2,513","77,326",,"2,825",40,"2,788,202","16,859","165,379,983",Asia,354,"24,776",59
28,Philippines,"432,919","+1,292","8,418",+27,"398,773",+126,"25,728","1,401","3,929",76,"5,804,014","52,671","110,192,993",Asia,255,"13,090",19
29,Pakistan,"400,482","+2,458","8,091",+66,"343,286","+1,863","49,105","2,165","1,798",36,"5,549,779","24,923","222,680,970",Asia,556,"27,522",40
30,Canada,"383,468","+5,329","12,211",+81,"304,888","+4,916","66,369",492,"10,123",322,"11,573,322","305,513","37,881,595",North America,99,"3,102",3
31,Morocco,"359,844","+3,508","5,915",+69,"310,193","+4,902","43,736","1,036","9,701",159,"3,974,785","107,153","37,094,371",Africa,103,"6,271",9
32,Saudi Arabia,"357,623",+263,"5,907",+11,"347,176",+374,"4,540",649,"10,206",169,"9,662,314","275,744","35,040,837",Asia,98,"5,932",4
33,Israel,"338,127","+1,281","2,877",+12,"324,449",+700,"10,801",264,"36,763",313,"5,605,071","609,406","9,197,590",Asia,27,"3,197",2
34,Switzerland,"330,874","+3,802","4,940",+125,"250,200",,"75,734",497,"38,113",569,"2,753,942","317,226","8,681,328",Europe,26,"1,757",3
35,Portugal,"300,462","+2,401","4,577",+72,"220,877","+7,935","75,008",521,"29,503",449,"4,353,234","427,456","10,184,050",Europe,34,"2,225",2
36,Austria,"285,489","+3,033","3,325",+141,"227,497","+5,805","54,667",691,"31,622",368,"3,121,510","345,754","9,028,113",Europe,32,"2,715",3
37,Sweden,"266,158","+5,073","6,949",+3,,,,221,"26,285",686,"3,174,798","313,534","10,125,863",Europe,38,"1,457",3
38,Nepal,"234,756","+1,304","1,529",+21,"216,594","+2,073","16,633",,"7,997",52,"1,746,330","59,489","29,355,661",Asia,125,"19,199",17
39,Jordan,"223,617","+4,187","2,802",+51,"162,959","+7,933","57,856",426,"21,825",273,"2,577,281","251,546","10,245,769",Asia,46,"3,657",4
40,Hungary,"221,073","+3,951","4,977",+154,"64,802",+942,"151,294",662,"22,909",516,"1,653,780","171,378","9,649,910",Europe,44,"1,939",6
41,Ecuador,"193,673",+988,"13,501",+40,"169,804",,"10,368",375,"10,908",760,"655,192","36,901","17,755,249",South America,92,"1,315",27
42,Serbia,"183,437","+7,999","1,652",+48,"31,536",,"150,249",269,"21,031",189,"1,800,419","206,414","8,722,371",Europe,48,"5,280",5
43,UAE,"170,149","+1,289",576,+4,"155,667",+768,"13,906",,"17,117",58,"16,857,641","1,695,838","9,940,597",Asia,58,"17,258",1
44,Panama,"167,311","+1,505","3,098",+19,"145,518","+1,056","18,695",166,"38,523",713,"916,423","211,002","4,343,196",North America,26,"1,402",5
45,Bulgaria,"148,775","+3,475","4,188",+153,"53,000","+2,435","91,587",493,"21,480",605,"982,307","141,827","6,926,087",Europe,47,"1,654",7
46,Japan,"148,694","+1,934","2,139",+20,"125,470","+2,025","21,085",493,"1,177",17,"3,545,916","28,073","126,311,581",Asia,849,"59,052",36
47,Bolivia,"144,708",+86,"8,957",+5,"121,702",+230,"14,049",71,"12,326",763,"361,298","30,775","11,739,804",South America,81,"1,311",32
48,Dominican Republic,"144,302",+314,"2,333",+2,"115,530",+311,"26,439",183,"13,246",214,"720,805","66,167","10,893,694",North America,75,"4,669",15
49,Kuwait,"142,992",+357,881,+1,"137,625",+554,"4,486",82,"33,277",205,"1,101,146","256,257","4,297,030",Asia,30,"4,877",4
50,Costa Rica,"140,172",+534,"1,731",+5,"87,721",+195,"50,720",224,"27,411",339,"398,784","77,983","5,113,713",North America,36,"2,954",13
51,Georgia,"139,343","+3,759","1,303",+36,"117,560","+3,574","20,480",,"34,959",327,"1,183,319","296,876","3,985,909",Asia,29,"3,059",3
52,Qatar,"139,001",+168,238,+1,"136,306",+216,"2,457",30,"49,505",85,"1,116,081","397,492","2,807,805",Asia,20,"11,798",3
53,Belarus,"138,219","+1,572","1,166",+8,"115,587","+1,246","21,466",,"14,629",123,"3,279,137","347,072","9,448,002",Europe,68,"8,103",3
