#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"17,386,122","+125,458","300,148","+1,570","15,362,172","+94,773","1,723,802","28,124",,,,,,Asia,,,
,North America,"17,377,208","+234,357","426,470","+3,094","10,584,792","+146,176","6,365,946","31,004",,,,,,North America,,,
,South America,"11,494,070","+62,837","331,641","+1,105","10,216,341","+35,448","946,088","16,811",,,,,,South America,,,
,Europe,"18,275,254","+191,291","420,886","+4,144","8,109,975","+148,061","9,744,393","27,523",,,,,,Europe,,,
,Africa,"2,263,152","+14,668","53,655",+278,"1,928,679","+12,102","280,818","2,551",,,,,,Africa,,,
,Oceania,"45,918",+16,"1,021",,"33,147",+17,"11,750",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"66,842,445","+628,627","1,533,836","+10,191","46,235,812","+436,577","19,072,797","106,038","8,575",196.8,,,,All,,,
1,China,"86,601",+17,"4,634",,"81,694",+15,273,6,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,620","310,601",9
2,USA,"14,985,668","+211,033","287,830","+2,256","8,789,223","+129,322","5,908,615","26,261","45,159",867,"205,850,241","620,322","331,843,917",North America,22,"1,153",2
3,India,"9,644,529","+36,111","140,216",+480,"9,099,946","+41,943","404,367","8,944","6,959",101,"145,885,512","105,267","1,385,863,914",Asia,144,"9,884",9
4,Brazil,"6,577,177","+42,226","176,641",+660,"5,761,363","+16,994","639,173","8,318","30,848",828,"25,700,000","120,536","213,213,576",South America,32,"1,207",8
5,Russia,"2,431,731","+28,782","42,684",+508,"1,916,396","+27,644","472,651","2,300","16,660",292,"78,777,839","539,716","145,961,711",Europe,60,"3,420",2
6,France,"2,281,475","+12,923","54,981",+214,"169,358","+1,006","2,057,136","3,230","34,919",842,"20,957,718","320,767","65,336,312",Europe,29,"1,188",3
7,Italy,"1,709,991","+21,052","59,514",+662,"896,308","+23,923","754,169","3,517","28,300",985,"22,962,114","380,022","60,423,049",Europe,35,"1,015",3
8,UK,"1,705,970","+15,538","61,014",+397,,,,"1,274","25,073",897,"44,812,139","658,608","68,040,655",Europe,40,"1,115",2
9,Spain,"1,699,145",,"46,252",,,,,"2,371","36,336",989,"22,992,742","491,690","46,762,664",Europe,28,"1,011",2
10,Argentina,"1,459,832","+5,201","39,632",+120,"1,288,785","+6,830","131,415","3,757","32,173",873,"4,084,362","90,014","45,374,992",South America,31,"1,145",11
11,Colombia,"1,362,249","+9,642","37,633",+166,"1,249,702","+8,712","74,914","2,376","26,650",736,"6,702,477","131,120","51,116,937",South America,38,"1,358",8
12,Germany,"1,170,095","+17,812","18,975",+284,"835,700","+15,100","315,420","4,051","13,946",226,"29,141,172","347,331","83,900,328",Europe,72,"4,422",3
13,Mexico,"1,156,770","+12,127","108,863",+690,"852,719","+9,488","195,188","3,377","8,931",841,"2,977,002","22,985","129,517,418",North America,112,"1,190",44
14,Poland,"1,054,273","+12,430","19,861",+502,"687,910","+21,497","346,502","1,906","27,870",525,"6,432,494","170,043","37,828,537",Europe,36,"1,905",6
15,Iran,"1,028,986","+12,151","50,016",+321,"719,708","+11,602","259,262","5,817","12,184",592,"6,342,628","75,100","84,455,969",Asia,82,"1,689",13
16,Peru,"972,688","+1,828","36,231",+36,"905,696","+1,738","30,761",976,"29,325","1,092","5,154,919","155,412","33,169,459",South America,34,915,6
17,South Africa,"810,449","+4,645","22,067",+104,"744,298","+3,848","44,084",546,"13,591",370,"5,565,928","93,340","59,630,802",Africa,74,"2,702",11
18,Ukraine,"801,716","+13,825","13,421",+226,"412,533","+14,724","375,762",177,"18,380",308,"4,702,234","107,803","43,618,738",Europe,54,"3,250",9
19,Turkey,"797,893","+31,896","14,705",+196,"427,242","+4,100","355,946","5,800","9,417",174,"19,517,084","230,343","84,730,672",Asia,106,"5,762",4
20,Belgium,"587,439","+2,582","17,142",+109,"38,858",+281,"531,439",789,"50,591","1,476","6,046,837","520,762","11,611,513",Europe,20,677,2
21,Indonesia,"569,707","+6,027","17,589",+110,"470,449","+4,271","81,669",,"2,073",64,"5,981,908","21,770","274,771,891",Asia,482,"15,622",46
22,Iraq,"562,520","+1,898","12,411",+24,"491,657","+1,885","58,452",239,"13,853",306,"3,639,831","89,634","40,607,617",Asia,72,"3,272",11
23,Chile,"558,668","+1,533","15,592",+34,"531,543",,"11,533",664,"29,117",813,"5,495,597","286,421","19,187,149",South America,34,"1,231",3
24,Netherlands,"550,445","+6,521","9,662",+39,,,,486,"32,093",563,"4,043,482","235,753","17,151,357",Europe,31,"1,775",4
25,Czechia,"545,717","+3,311","8,830",+92,"476,672","+2,678","60,215",586,"50,918",824,"3,174,461","296,191","10,717,622",Europe,20,"1,214",3
26,Romania,"508,345","+8,072","12,186",+134,"399,207","+8,995","96,952","1,280","26,502",635,"4,237,925","220,938","19,181,480",Europe,38,"1,574",5
27,Bangladesh,"475,879","+1,978","6,807",+35,"393,408","+2,457","75,664",,"2,877",41,"2,849,951","17,231","165,397,901",Asia,348,"24,298",58
28,Philippines,"438,066","+1,721","8,525",+16,"399,572",+227,"29,969","1,401","3,975",77,"5,942,296","53,918","110,208,935",Asia,252,"12,928",19
29,Pakistan,"413,191","+3,119","8,303",+43,"352,529","+2,224","52,359","2,441","1,855",37,"5,713,341","25,652","222,727,923",Asia,539,"26,825",39
30,Canada,"408,921","+6,352","12,589",+93,"324,882","+4,786","71,450",530,"10,794",332,"11,905,770","314,259","37,885,207",North America,93,"3,009",3
31,Morocco,"376,738","+4,118","6,184",+48,"327,693","+3,879","42,861",960,"10,155",167,"4,058,751","109,403","37,099,151",Africa,98,"5,999",9
32,Saudi Arabia,"358,526",+190,"5,954",+14,"348,562",+324,"4,010",603,"10,230",170,"9,830,703","280,502","35,046,766",Asia,98,"5,886",4
33,Switzerland,"344,497",,"5,324",+31,"260,600",,"78,573",479,"39,679",613,"2,836,245","326,680","8,682,019",Europe,25,"1,631",3
34,Israel,"343,826","+1,725","2,909",+13,"327,749",+587,"13,168",329,"37,382",316,"5,605,071","609,406","9,197,590",Asia,27,"3,162",2
