#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"17,260,664","+126,763","298,578","+1,644","15,267,399","+92,375","1,694,687","27,966",,,,,,Asia,,,
,North America,"17,142,851","+261,051","423,376","+3,514","10,438,616","+118,130","6,280,859","30,894",,,,,,North America,,,
,South America,"11,431,233","+69,868","330,536","+1,289","10,180,893","+39,457","919,804","16,992",,,,,,South America,,,
,Europe,"18,083,963","+212,279","416,742","+5,334","7,961,914","+159,534","9,705,307","27,648",,,,,,Europe,,,
,Africa,"2,248,484","+16,690","53,377",+384,"1,916,577","+13,011","278,530","2,559",,,,,,Africa,,,
,Oceania,"45,902",+225,"1,021",+1,"33,130",+23,"11,751",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"66,213,818","+686,876","1,523,645","+12,166","45,799,235","+422,530","18,890,938","106,084","8,495",195.5,,,,All,,,
1,China,"86,584",+17,"4,634",,"81,679",+12,271,5,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,623","310,601",9
2,USA,"14,774,635","+237,372","285,574","+2,742","8,659,901","+98,417","5,829,160","26,153","44,524",861,"203,888,051","614,419","331,838,624",North America,22,"1,162",2
3,India,"9,608,418","+36,638","139,736",+509,"9,058,003","+42,319","410,679","8,944","6,933",101,"144,727,749","104,434","1,385,826,873",Asia,144,"9,917",10
4,Brazil,"6,534,951","+47,435","175,981",+674,"5,744,369","+19,359","614,601","8,318","30,650",825,"25,700,000","120,539","213,209,454",South America,33,"1,212",8
5,Russia,"2,402,949","+27,403","42,176",+569,"1,888,752","+28,901","472,021","2,300","16,463",289,"78,227,415","535,945","145,961,541",Europe,61,"3,461",2
6,France,"2,268,552","+11,221","54,767",+397,"168,352","+1,412","2,045,433","3,293","34,721",838,"20,879,180","319,567","65,335,918",Europe,29,"1,193",3
7,Spain,"1,699,145","+5,554","46,252",+214,,,,"2,371","36,336",989,"22,992,742","491,691","46,762,615",Europe,28,"1,011",2
8,UK,"1,690,432","+16,298","60,617",+504,,,,"1,261","24,845",891,"44,812,139","658,618","68,039,683",Europe,40,"1,122",2
9,Italy,"1,688,939","+24,099","58,852",+814,"872,385","+25,576","757,702","3,567","27,952",974,"22,767,130","376,794","60,423,291",Europe,36,"1,027",3
10,Argentina,"1,454,631","+6,899","39,512",+207,"1,281,955","+7,280","133,164","3,929","32,059",871,"4,055,795","89,386","45,373,860",South America,31,"1,148",11
11,Colombia,"1,352,607","+9,285","37,467",+162,"1,240,990","+7,875","74,150","2,376","26,462",733,"6,649,697","130,092","51,115,456",South America,38,"1,364",8
12,Germany,"1,152,283","+23,541","18,691",+431,"820,600","+20,600","312,992","4,011","13,734",223,"29,141,172","347,334","83,899,597",Europe,73,"4,489",3
13,Mexico,"1,144,643","+11,030","108,173",+608,"843,231","+6,664","193,239","3,377","8,838",835,"2,948,516","22,766","129,513,719",North America,113,"1,197",44
14,Poland,"1,041,843","+13,236","19,359",+531,"666,413","+19,853","356,071","1,961","27,541",512,"6,396,712","169,097","37,828,650",Europe,36,"1,954",6
15,Iran,"1,016,835","+13,341","49,695",+347,"708,106","+8,791","259,034","5,824","12,040",588,"6,256,715","74,085","84,453,032",Asia,83,"1,699",13
16,Peru,"970,860","+2,014","36,195",+91,"903,958","+2,414","30,707",965,"29,271","1,091","5,136,390","154,859","33,168,204",South America,34,916,6
17,South Africa,"805,804","+4,932","21,963",+160,"740,450","+1,083","43,391",546,"13,514",368,"5,534,084","92,809","59,628,760",Africa,74,"2,715",11
18,Ukraine,"787,891","+15,131","13,195",+235,"397,809","+13,383","376,887",177,"18,063",303,"4,528,772","103,825","43,619,452",Europe,55,"3,306",10
19,Turkey,"765,997","+32,736","14,509",+193,"423,142","+4,811","328,346","5,703","9,041",171,"19,338,181","228,238","84,728,194",Asia,111,"5,840",4
20,Belgium,"584,857","+2,605","17,033",+122,"38,577",+316,"529,247",788,"50,369","1,467","6,012,323","517,796","11,611,376",Europe,20,682,2
21,Indonesia,"563,680","+5,803","17,479",+124,"466,178","+3,625","80,023",,"2,052",64,"5,926,986","21,571","274,763,993",Asia,487,"15,720",46
22,Iraq,"560,622","+1,855","12,387",+26,"489,772","+1,909","58,463",256,"13,807",305,"3,609,466","88,892","40,605,145",Asia,72,"3,278",11
23,Chile,"557,135","+1,729","15,558",+39,"531,543","+1,073","10,034",683,"29,038",811,"5,455,436","284,334","19,186,701",South America,34,"1,233",4
24,Netherlands,"543,924","+5,874","9,623",+58,,,,488,"31,713",561,"4,043,482","235,754","17,151,253",Europe,32,"1,782",4
25,Czechia,"542,406","+4,743","8,738",+97,"473,994","+5,692","59,674",586,"50,609",815,"3,152,545","294,147","10,717,568",Europe,20,"1,227",3
26,Romania,"500,273","+8,062","12,052",+176,"390,212","+9,211","98,009","1,275","26,081",628,"4,205,480","219,243","19,181,829",Europe,38,"1,592",5
27,Bangladesh,"473,901","+2,162","6,772",+24,"390,951","+2,572","76,178",,"2,865",41,"2,836,411","17,149","165,393,422",Asia,349,"24,423",58
28,Philippines,"436,345",+934,"8,509",+63,"399,345",+148,"28,491","1,401","3,959",77,"5,906,862","53,599","110,204,949",Asia,253,"12,952",19
29,Pakistan,"410,072","+3,262","8,260",+55,"350,305","+3,354","51,507","2,395","1,841",37,"5,672,166","25,468","222,716,185",Asia,543,"26,963",39
30,Canada,"402,569","+6,299","12,496",+89,"320,096","+5,488","69,977",530,"10,626",330,"11,739,689","309,883","37,884,304",North America,94,"3,032",3
31,Morocco,"372,620","+3,996","6,136",+73,"323,814","+4,827","42,670",955,"10,044",165,"4,038,601","108,863","37,097,956",Africa,100,"6,046",9
32,Saudi Arabia,"358,336",+234,"5,940",+10,"348,238",+357,"4,158",596,"10,225",169,"9,796,082","279,526","35,045,284",Asia,98,"5,900",4
33,Switzerland,"344,497","+4,382","5,293",+112,"260,600","+3,000","78,604",479,"39,680",610,"2,836,245","326,687","8,681,846",Europe,25,"1,640",3
34,Israel,"342,101","+1,059","2,896",+5,"327,162",+518,"12,043",324,"37,195",315,"5,605,071","609,406","9,197,590",Asia,27,"3,176",2
35,Portugal,"312,553","+4,935","4,803",+79,"234,038","+5,020","73,712",526,"30,691",472,"4,722,013","463,679","10,183,807",Europe,33,"2,120",2
36,Austria,"297,245","+3,815","3,651",+113,"243,775","+5,648","49,819",642,"32,923",404,"3,209,340","355,466","9,028,534",Europe,30,"2,473",3
37,Sweden,"278,912",,"7,067",+20,,,,249,"27,543",698,"3,457,247","341,410","10,126,378",Europe,36,"1,433",3
38,Nepal,"238,861","+1,272","1,567",+16,"221,847","+1,575","15,447",,"8,136",53,"1,771,950","60,353","29,359,962",Asia,123,"18,736",17
39,Hungary,"238,056","+6,212","5,513",+189,"68,525","+1,492","164,018",639,"24,670",571,"1,876,274","194,438","9,649,710",Europe,41,"1,750",5
40,Jordan,"234,353","+3,116","2,960",+51,"177,195","+3,826","54,198",409,"22,871",289,"2,648,917","258,517","10,246,599",Asia,44,"3,462",4
41,Serbia,"206,940","+7,782","1,834",+69,"31,536",,"173,570",270,"23,726",210,"1,867,228","214,080","8,722,084",Europe,42,"4,756",5
42,Ecuador,"196,482",+598,"13,696",+84,"169,804",,"12,982",356,"11,065",771,"666,724","37,546","17,757,446",South America,90,"1,297",27
43,UAE,"174,062","+1,311",586,+1,"157,828",+793,"15,648",,"17,508",59,"17,240,432","1,734,175","9,941,576",Asia,57,"16,965",1
44,Panama,"173,607","+2,388","3,154",+13,"150,051","+1,655","20,402",161,"39,967",726,"955,664","220,009","4,343,753",North America,25,"1,377",5
45,Bulgaria,"158,807","+3,614","4,650",+147,"59,677","+2,536","94,480",504,"22,930",671,"1,009,397","145,747","6,925,661",Europe,44,"1,489",7
