#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"17,000,662","+123,030","295,150","+1,672","15,078,078","+88,456","1,627,434","27,589",,,,,,Asia,,,
,North America,"16,636,385","+226,727","415,972","+3,871","10,203,695","+143,771","6,016,718","30,889",,,,,,North America,,,
,South America,"11,287,344","+70,861","327,949","+1,218","10,095,178","+60,629","864,217","17,052",,,,,,South America,,,
,Europe,"17,652,338","+204,526","405,649","+5,306","7,641,059","+181,122","9,605,630","28,307",,,,,,Europe,,,
,Africa,"2,214,700","+16,503","52,670",+330,"1,876,465","+13,440","285,565","2,594",,,,,,Africa,,,
,Oceania,"45,470",+182,"1,019",+1,"33,090",+11,"11,361",23,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"64,837,620","+641,829","1,498,424","+12,398","44,928,271","+487,429","18,410,925","106,454","8,318",192.2,,,,All,,,
1,China,"86,551",+9,"4,634",,"81,649",+18,268,8,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,630","310,601",9
2,USA,"14,316,620","+206,073","279,913","+2,875","8,463,363","+129,454","5,573,344","26,187","43,145",844,"199,911,130","602,454","331,828,037",North America,23,"1,185",2
3,India,"9,533,471","+33,761","138,657",+498,"8,970,104","+38,306","424,710","8,944","6,880",100,"142,445,949","102,793","1,385,752,793",Asia,145,"9,994",10
4,Brazil,"6,436,650","+48,124","174,531",+669,"5,698,353","+41,855","563,766","8,318","30,190",819,"25,700,000","120,543","213,201,210",South America,33,"1,222",8
5,Russia,"2,347,401","+25,345","41,053",+589,"1,830,349","+26,882","475,999","2,300","16,082",281,"77,200,071","528,908","145,961,200",Europe,62,"3,555",2
6,France,"2,244,635","+14,064","53,816",+310,"165,563","+1,534","2,025,256","3,488","34,356",824,"20,678,186","316,494","65,335,131",Europe,29,"1,214",3
7,Spain,"1,687,487","+7,682","45,784",+273,,,,"2,485","36,086",979,"22,992,742","491,692","46,762,516",Europe,28,"1,021",2
8,UK,"1,659,255","+16,169","59,699",+648,,,,"1,351","24,387",877,"44,059,851","647,580","68,037,738",Europe,41,"1,140",2
9,Italy,"1,641,604","+20,703","57,045",+684,"823,335","+38,740","761,224","3,616","27,168",944,"22,334,342","369,628","60,423,775",Europe,37,"1,059",3
10,Argentina,"1,440,103","+7,533","39,156",+228,"1,268,358","+5,107","132,589","3,983","31,740",863,"3,975,760","87,627","45,371,596",South America,32,"1,159",11
11,Colombia,"1,334,089","+9,297","37,117",+183,"1,225,635","+7,988","71,337","2,376","26,101",726,"6,535,154","127,858","51,112,494",South America,38,"1,377",8
12,Mexico,"1,122,362","+8,819","106,765",+825,"829,817","+6,231","185,780","3,335","8,666",824,"2,892,449","22,334","129,506,321",North America,115,"1,213",45
13,Germany,"1,105,832","+20,171","17,812",+453,"779,600","+20,800","308,420","3,957","13,181",212,"27,859,242","332,060","83,898,137",Europe,76,"4,710",3
14,Poland,"1,013,772","+13,880","18,208",+609,"622,980","+25,391","372,584","2,023","26,799",481,"6,317,532","167,003","37,828,876",Europe,37,"2,078",6
15,Iran,"989,572","+13,621","48,990",+362,"688,054","+10,091","252,528","5,828","11,718",580,"6,212,694","73,569","84,447,157",Asia,85,"1,724",14
16,Peru,"967,075","+1,847","36,076",+45,"899,213","+2,235","31,786",961,"29,159","1,088","5,103,401","153,876","33,165,694",South America,34,919,6
17,South Africa,"796,472","+4,173","21,709",+65,"734,305","+1,774","40,458",546,"13,358",364,"5,468,670","91,718","59,624,674",Africa,75,"2,747",11
18,Ukraine,"758,264","+13,141","12,717",+169,"369,054","+13,882","376,493",177,"17,383",292,"4,528,772","103,821","43,620,881",Europe,58,"3,430",10
19,Turkey,"700,880","+31,923","14,129",+193,"414,141","+4,821","272,610","5,502","8,273",167,"18,956,228","223,743","84,723,237",Asia,121,"5,996",4
20,Belgium,"579,212","+1,867","16,786",+141,"37,924",+450,"524,502",854,"49,884","1,446","5,932,877","510,966","11,611,101",Europe,20,692,2
21,Iraq,"556,728","+1,961","12,340",+34,"486,313","+1,743","58,075",277,"13,712",304,"3,543,722","87,283","40,600,201",Asia,73,"3,290",11
22,Chile,"553,898","+1,034","15,438",+8,"529,501","+1,467","8,959",694,"28,870",805,"5,378,733","280,350","19,185,805",South America,35,"1,243",4
23,Indonesia,"549,508","+5,533","17,199",+118,"458,880","+4,001","73,429",,"2,000",63,"5,805,224","21,129","274,748,198",Asia,500,"15,975",47
