#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"17,503,029","+116,907","301,621","+1,473","15,464,292","+102,120","1,737,116","28,089",,,,,,Asia,,,
,North America,"17,586,073","+205,852","428,330","+1,824","10,672,133","+84,394","6,485,610","31,202",,,,,,North America,,,
,South America,"11,537,615","+43,545","332,407",+766,"10,255,994","+39,653","949,214","16,790",,,,,,South America,,,
,Europe,"18,450,658","+169,621","424,349","+3,332","8,216,148","+106,173","9,810,161","27,491",,,,,,Europe,,,
,Africa,"2,276,587","+13,435","53,962",+307,"1,936,706","+8,027","285,919","2,542",,,,,,Africa,,,
,Oceania,"45,927",+9,"1,021",,"33,153",+6,"11,753",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"67,400,610","+549,369","1,541,705","+7,702","46,579,132","+340,373","19,279,773","106,139","8,647",197.8,,,,All,,,
1,China,"86,619",+18,"4,634",,"81,706",+12,279,6,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,617","310,601",9
2,USA,"15,170,254","+182,779","288,938","+1,092","8,857,106","+67,757","6,024,210","26,448","45,714",871,"207,460,341","625,164","331,849,210",North America,22,"1,149",2
3,India,"9,676,801","+32,272","140,590",+374,"9,138,171","+38,225","398,040","8,944","6,982",101,"146,986,575","106,058","1,385,900,954",Asia,143,"9,858",9
4,Brazil,"6,603,540","+26,363","176,962",+321,"5,776,182","+14,819","650,396","8,318","30,971",830,"25,700,000","120,534","213,217,698",South America,32,"1,205",8
5,Russia,"2,460,770","+29,039","43,141",+457,"1,937,738","+21,342","479,891","2,300","16,859",296,"79,323,100","543,451","145,961,882",Europe,59,"3,383",2
6,France,"2,292,497","+11,022","55,155",+174,"169,586",+228,"2,067,756","3,220","35,087",844,"21,041,852","322,053","65,336,705",Europe,29,"1,185",3
7,Italy,"1,728,837","+18,846","60,078",+564,"913,494","+17,186","755,265","3,454","28,612",994,"23,125,664","382,731","60,422,807",Europe,35,"1,006",3
8,UK,"1,723,242","+17,272","61,245",+231,,,,"1,274","25,326",900,"44,812,139","658,599","68,041,627",Europe,39,"1,111",2
9,Spain,"1,709,445","+4,517","46,514",+131,,,,"2,371","36,556",995,"22,992,742","491,690","46,762,714",Europe,27,"1,005",2
10,Argentina,"1,463,110","+3,278","39,770",+138,"1,294,692","+5,907","128,648","3,735","32,244",876,"4,101,188","90,382","45,376,124",South America,31,"1,141",11
11,Colombia,"1,371,103","+8,854","37,808",+175,"1,257,410","+7,708","75,885","2,376","26,822",740,"6,737,972","131,811","51,118,418",South America,37,"1,352",8
12,Germany,"1,184,845","+14,750","19,159",+184,"846,400","+10,700","319,286","4,108","14,122",228,"29,141,172","347,328","83,901,058",Europe,71,"4,379",3
13,Mexico,"1,168,395","+11,625","109,456",+593,"859,463","+6,744","199,476","3,363","9,021",845,"3,005,228","23,203","129,521,116",North America,111,"1,183",43
14,Poland,"1,063,447","+9,174","20,089",+228,"706,720","+18,810","336,638","1,900","28,112",531,"6,456,364","170,675","37,828,425",Europe,36,"1,883",6
15,Iran,"1,040,547","+11,561","50,310",+294,"730,798","+11,090","259,439","5,809","12,320",596,"6,387,019","75,623","84,458,906",Asia,81,"1,679",13
16,Peru,"973,912","+1,224","36,274",+43,"907,654","+1,958","29,984",987,"29,361","1,094","5,167,466","155,784","33,170,715",South America,34,914,6
17,Turkey,"828,295","+30,402","14,900",+195,"431,253","+4,011","382,142","5,805","9,775",176,"19,691,845","232,398","84,733,150",Asia,102,"5,687",4
18,South Africa,"814,565","+4,116","22,206",+139,"744,780",+482,"47,579",546,"13,660",372,"5,592,663","93,785","59,632,845",Africa,73,"2,685",11
19,Ukraine,"813,306","+11,590","13,588",+167,"418,581","+6,048","381,137",177,"18,646",312,"4,702,234","107,805","43,618,024",Europe,54,"3,210",9
20,Belgium,"589,942","+2,503","17,254",+112,"39,185",+327,"533,503",753,"50,806","1,486","6,082,316","523,811","11,611,651",Europe,20,673,2
