#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"19,084,461","+102,345","312,236","+1,397","17,265,905","+116,224","1,506,320","27,408",,,,,,Asia,,,
,North America,"19,319,724","+216,219","451,468","+2,224","11,675,114","+98,262","7,193,142","32,677",,,,,,North America,,,
,South America,"11,966,122","+40,491","340,032",+694,"10,595,822","+31,466","1,030,268","16,567",,,,,,South America,,,
,Europe,"19,842,393","+175,262","457,692","+3,160","9,265,640","+104,200","10,119,061","26,898",,,,,,Europe,,,
,Africa,"2,393,061","+16,320","56,428",+346,"2,023,832","+9,006","312,801","2,620",,,,,,Africa,,,
,Oceania,"46,575",+11,"1,034",,"33,216",+9,"12,325",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"72,653,057","+550,648","1,618,905","+7,821","50,860,235","+359,167","20,173,917","106,195","9,321",207.7,,,,All,,,
1,China,"86,725",+24,"4,634",,"81,785",+11,306,6,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,596","310,601",9
2,USA,"16,744,175","+192,978","306,485","+1,388","9,724,700","+80,172","6,712,990","27,610","50,452",923,"220,899,984","665,589","331,886,264",North America,20,"1,083",2
3,India,"9,884,716","+27,336","143,393",+338,"9,387,608","+30,729","353,715","8,944","7,131",103,"153,711,833","110,890","1,386,160,236",Asia,140,"9,667",9
4,Brazil,"6,901,990","+21,395","181,419",+276,"5,982,953","+13,247","737,618","8,318","32,366",851,"25,700,000","120,518","213,246,552",South America,31,"1,175",8
5,Russia,"2,653,928","+28,080","46,941",+488,"2,106,235","+20,277","500,752","2,300","18,182",322,"82,600,000","565,897","145,963,074",Europe,55,"3,110",2
6,France,"2,376,852","+11,533","57,911",+150,"176,995","+1,104","2,141,946","2,871","36,377",886,"28,942,112","442,950","65,339,460",Europe,27,"1,128",2
7,UK,"1,849,403","+18,447","64,170",+144,,,,"1,275","27,178",943,"47,141,344","692,762","68,048,434",Europe,37,"1,060",1
8,Italy,"1,843,707","+17,933","64,520",+484,"1,093,161","+16,270","686,026","3,158","30,514","1,068","24,215,726","400,783","60,421,114",Europe,33,936,2
9,Turkey,"1,836,728","+26,919","16,417",+218,"1,603,780","+22,215","216,531","5,973","21,672",194,"21,079,716","248,727","84,750,497",Asia,46,"5,162",4
10,Spain,"1,754,069","+5,460","47,884",+130,,,,"2,100","37,510","1,024","24,101,272","515,391","46,763,059",Europe,27,977,2
11,Argentina,"1,498,160","+3,558","40,766",+98,"1,335,317","+5,157","122,077","3,537","33,011",898,"4,259,194","93,848","45,384,048",South America,30,"1,113",11
12,Colombia,"1,425,774","+8,702","39,053",+187,"1,314,836","+4,411","71,885","2,376","27,886",764,"7,069,223","138,263","51,128,785",South America,36,"1,309",7
13,Germany,"1,338,483","+17,891","22,406",+235,"967,900","+10,400","348,177","4,552","15,952",267,"30,494,036","363,430","83,906,168",Europe,63,"3,745",3
14,Mexico,"1,241,436","+12,057","113,704",+685,"911,965","+7,923","215,767","3,550","9,583",878,"3,182,316","24,565","129,547,008",North America,104,"1,139",41
15,Poland,"1,135,676","+8,977","22,864",+188,"858,895","+18,354","253,917","1,784","30,022",604,"6,675,849","176,481","37,827,635",Europe,33,"1,654",6
16,Iran,"1,108,269","+7,451","52,196",+247,"812,270","+11,417","243,803","5,723","13,119",618,"6,704,247","79,359","84,479,467",Asia,76,"1,619",13
17,Peru,"984,973","+1,928","36,677",+68,"918,352","+2,017","29,944","1,057","29,686","1,105","5,264,455","158,666","33,179,501",South America,34,905,6
18,Ukraine,"894,215","+9,176","15,154",+156,"501,564","+7,563","377,497",177,"20,503",347,"4,957,299","113,666","43,613,026",Europe,49,"2,878",9
19,South Africa,"860,964","+7,999","23,276",+170,"761,011",+893,"76,677",546,"14,434",390,"5,859,178","98,231","59,647,146",Africa,69,"2,563",10
20,Indonesia,"617,820","+6,189","18,819",+166,"505,836","+4,460","93,165",,"2,248",68,"6,382,379","23,223","274,835,073",Asia,445,"14,604",43
21,Netherlands,"613,487","+9,884","10,048",+29,,,,500,"35,767",586,"5,253,381","306,281","17,152,183",Europe,28,"1,707",3
22,Belgium,"605,966","+2,807","17,902",+110,"41,589",+255,"546,475",627,"52,182","1,542","6,309,354","543,319","11,612,613",Europe,19,649,2
23,Czechia,"579,080","+3,655","9,564",+67,"505,816",+198,"63,700",548,"54,028",892,"3,339,753","311,601","10,718,055",Europe,19,"1,121",3
24,Iraq,"574,634","+1,012","12,579",+14,"507,446","+1,777","54,609",206,"14,144",310,"3,898,480","95,957","40,627,394",Asia,71,"3,230",10
25,Chile,"571,919","+2,138","15,886",+40,"544,822","+1,739","11,211",637,"29,802",828,"5,775,305","300,942","19,190,731",South America,34,"1,208",3
26,Romania,"556,335","+4,435","13,385",+121,"457,360","+5,883","85,590","1,289","29,008",698,"4,428,071","230,885","19,178,690",Europe,34,"1,433",4
27,Bangladesh,"490,533","+1,355","7,052",+32,"420,896","+3,393","62,585",,"2,965",43,"2,969,630","17,951","165,433,737",Asia,337,"23,459",56
28,Canada,"460,743","+5,891","13,431",+81,"373,253","+4,779","74,059",596,"12,159",354,"12,559,324","331,447","37,892,433",North America,82,"2,821",3
29,Philippines,"449,394","+1,079","8,733",+3,"418,682","+9,291","21,979",708,"4,076",79,"6,236,830","56,575","110,240,817",Asia,245,"12,623",18
30,Pakistan,"438,425","+3,369","8,796",+72,"383,000","+1,792","46,629","2,471","1,968",39,"6,032,390","27,073","222,821,830",Asia,508,"25,332",37
31,Morocco,"399,609","+2,012","6,624",+35,"356,023","+2,925","36,962","1,038","10,769",179,"4,194,760","113,040","37,108,711",Africa,93,"5,602",9
32,Switzerland,"373,831",,"5,985",+9,"291,500",,"76,346",453,"43,051",689,"3,019,837","347,771","8,683,400",Europe,23,"1,451",3
33,Saudi Arabia,"359,888",+139,"6,048",+12,"350,549",+202,"3,291",499,"10,265",173,"10,349,590","295,208","35,058,625",Asia,97,"5,797",3
34,Israel,"357,176","+1,390","2,999",+16,"337,186","+1,943","16,991",349,"38,834",326,"6,610,179","718,686","9,197,590",Asia,26,"3,067",1
35,Portugal,"348,744","+4,044","5,559",+98,"271,322","+2,869","71,863",513,"34,247",546,"4,939,014","485,022","10,183,079",Europe,29,"1,832",2
36,Austria,"322,463","+2,641","4,473",+58,"281,106","+3,223","36,884",577,"35,711",495,"3,407,510","377,363","9,029,795",Europe,28,"2,019",3
37,Sweden,"320,098",,"7,514",,,,,258,"31,605",742,"3,718,476","367,151","10,127,924",Europe,32,"1,348",3
38,Hungary,"280,400","+4,153","6,965",+181,"80,752",+983,"192,683",606,"29,060",722,"2,301,174","238,486","9,649,109",Europe,34,"1,385",4
39,Serbia,"266,432","+4,995","2,331",+56,"31,536",,"232,565",331,"30,550",267,"2,030,691","232,845","8,721,223",Europe,33,"3,741",4
40,Jordan,"259,614","+2,339","3,365",+30,"218,467","+5,123","37,782",325,"25,330",328,"2,829,006","276,025","10,249,087",Asia,39,"3,046",4
41,Nepal,"248,423",+830,"1,698",+9,"235,731","+1,500","10,994",,"8,458",58,"1,831,041","62,338","29,372,866",Asia,118,"17,299",16
42,Ecuador,"202,110",+586,"13,875",+1,"177,951","+3,763","10,284",335,"11,377",781,"690,569","38,875","17,764,038",South America,88,"1,280",26
43,Panama,"193,007","+2,422","3,356",+25,"162,105","+1,464","27,546",188,"44,416",772,"1,063,099","244,648","4,345,425",North America,23,"1,295",4
44,Georgia,"189,726","+2,720","1,790",+46,"158,183","+3,942","29,753",,"47,602",449,"1,686,522","423,148","3,985,659",Asia,21,"2,227",2
45,UAE,"184,949","+1,194",617,+8,"163,679",+631,"20,653",,"18,598",62,"18,419,249","1,852,202","9,944,514",Asia,54,"16,118",1
46,Bulgaria,"179,449",+497,"5,688",+62,"83,720","+1,963","90,041",590,"25,916",821,"1,064,458","153,726","6,924,382",Europe,39,"1,217",7
47,Japan,"177,287","+2,988","2,562",+28,"149,286","+1,762","25,439",583,"1,404",20,"4,032,816","31,931","126,298,942",Asia,712,"49,297",31
48,Croatia,"175,886","+3,363","2,640",+78,"148,211","+3,520","25,035",295,"42,966",645,"882,282","215,525","4,093,632",Europe,23,"1,551",5
49,Azerbaijan,"175,874","+4,451","1,922",+39,"111,918","+4,283","62,034",,"17,275",189,"1,953,303","191,864","10,180,671",Asia,58,"5,297",5
50,Belarus,"160,295","+1,961","1,263",+9,"138,464","+2,542","20,568",,"16,966",134,"3,609,517","382,044","9,447,901",Europe,59,"7,481",3
51,Dominican Republic,"154,692","+1,107","2,361",+1,"120,481",+865,"31,850",235,"14,195",217,"790,739","72,563","10,897,258",North America,70,"4,616",14
52,Costa Rica,"152,620",+524,"1,921",+8,"116,755","+1,974","33,944",232,"29,836",376,"431,232","84,303","5,115,236",North America,34,"2,663",12
53,Armenia,"148,325","+1,013","2,486",+24,"125,169",+648,"20,670",,"50,012",838,"548,359","184,896","2,965,773",Asia,20,"1,193",5
54,Bolivia,"147,030",+333,"9,014",+1,"126,092",+206,"11,924",71,"12,518",767,"377,205","32,116","11,745,026",South America,80,"1,303",31
