#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
35,Portugal,"280,394","+6,383","4,209",+82,"193,944","+4,588","82,241",516,"27,531",413,"4,351,221","427,238","10,184,535",Europe,36,"2,420",2
36,Austria,"266,038","+5,526","2,773",+106,"196,342","+7,283","66,923",705,"29,470",307,"2,993,814","331,641","9,027,273",Europe,34,"3,255",3
37,Sweden,"243,129","+5,464","6,665",+3,,,,220,"24,013",658,"2,914,088","287,816","10,124,832",Europe,42,"1,519",3
38,Nepal,"227,640","+1,614","1,412",+23,"209,435","+1,437","16,793",,"7,757",48,"1,700,000","57,927","29,347,059",Asia,129,"20,784",17
39,Jordan,"203,021","+5,000","2,509",+67,"135,650","+4,469","64,862",481,"19,818",245,"2,461,304","240,265","10,244,110",Asia,50,"4,083",4
40,Hungary,"192,047","+6,360","4,229",+115,"49,616","+5,596","138,202",640,"19,901",438,"1,566,619","162,339","9,650,310",Europe,50,"2,282",6
41,Ecuador,"188,138",+908,"13,316",+28,"164,009",,"10,813",344,"10,599",750,"634,503","35,745","17,750,854",South America,94,"1,333",28
42,UAE,"163,967","+1,305",564,+1,"151,870",+826,"11,533",,"16,498",57,"16,209,676","1,630,975","9,938,639",Asia,61,"17,622",1
43,Panama,"160,287","+1,755","3,018",+16,"140,976","+1,620","16,293",152,"36,915",695,"869,552","200,262","4,342,082",North America,27,"1,439",5
44,Serbia,"148,214","+7,606","1,366",+51,"31,536",,"115,312",243,"16,991",157,"1,703,985","195,345","8,722,946",Europe,59,"6,386",5
45,Bolivia,"144,276",+129,"8,933",+5,"120,209",+374,"15,134",71,"12,292",761,"356,466","30,371","11,737,193",South America,81,"1,314",33
46,Kuwait,"141,547",+330,872,+1,"134,750",+717,"5,925",80,"32,949",203,"1,075,651","250,385","4,295,995",Asia,30,"4,927",4
47,Dominican Republic,"140,922","+1,526","2,317",+2,"113,687",+424,"24,918",181,"12,938",213,"698,990","64,175","10,891,912",North America,77,"4,701",16
48,Qatar,"138,066",+215,237,,"135,198",+248,"2,631",35,"49,172",84,"1,097,377","390,831","2,807,805",Asia,20,"11,847",3
49,Japan,"137,261","+1,861","2,022",+21,"116,378","+1,653","18,861",410,"1,087",16,"3,374,063","26,711","126,317,900",Asia,920,"62,472",37
