#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"16,637,081","+125,692","290,169","+1,688","14,794,125","+106,521","1,552,787","27,154",,,,,,Asia,,,
,North America,"16,023,576","+164,032","407,391","+1,530","9,804,743","+81,465","5,811,442","29,437",,,,,,North America,,,
,South America,"11,103,137","+44,918","324,606",+697,"9,920,182","+39,857","858,349","17,092",,,,,,South America,,,
,Europe,"17,095,351","+168,145","390,151","+3,313","7,143,851","+113,330","9,561,349","29,240",,,,,,Europe,,,
,Africa,"2,176,936","+13,123","51,819",+230,"1,841,060","+15,693","284,057","2,601",,,,,,Africa,,,
,Oceania,"44,791",+18,"1,014",,"33,047",+4,"10,730",21,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"63,081,593","+515,928","1,465,165","+7,458","43,537,667","+356,870","18,078,761","105,549","8,093",188.0,,,,All,,,
1,China,"86,512",+11,"4,634",,"81,598",+16,280,8,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,637","310,601",9
2,USA,"13,758,302","+144,727","273,094",+824,"8,107,270","+66,031","5,377,938","24,822","41,464",823,"192,274,115","579,467","331,812,157",North America,24,"1,215",2
3,India,"9,432,075","+39,036","137,177",+444,"8,846,313","+45,152","448,585","8,944","6,807",99,"139,503,803","100,678","1,385,641,672",Asia,147,"10,101",10
4,Brazil,"6,314,740","+24,468","172,848",+211,"5,578,118","+15,579","563,774","8,318","29,620",811,"21,900,000","102,726","213,188,844",South America,34,"1,233",10
5,Russia,"2,269,316","+26,683","39,527",+459,"1,761,457","+21,987","468,332","2,300","15,547",271,"75,900,000","520,003","145,960,689",Europe,64,"3,693",2
6,France,"2,218,483","+9,784","52,325",+198,"161,427",+290,"2,004,731","3,756","33,956",801,"20,512,082","313,957","65,333,951",Europe,29,"1,249",3
7,Spain,"1,658,286","+5,964","44,936",+134,,,,"2,777","35,462",961,"21,917,246","468,694","46,762,368",Europe,28,"1,041",2
8,UK,"1,617,327","+12,155","58,243",+213,,,,"1,417","23,772",856,"42,605,903","626,237","68,034,821",Europe,42,"1,168",2
9,Italy,"1,585,177","+20,647","54,904",+541,"734,503","+13,642","795,770","3,753","26,234",909,"21,814,575","361,022","60,424,501",Europe,38,"1,101",3
10,Argentina,"1,418,807","+5,432","38,473",+151,"1,249,843","+6,966","130,491","4,013","31,273",848,"3,873,231","85,373","45,368,199",South America,32,"1,179",12
11,Colombia,"1,308,376","+8,763","36,584",+183,"1,204,452","+7,248","67,340","2,376","25,600",716,"6,392,655","125,081","51,108,051",South America,39,"1,397",8
12,Mexico,"1,100,683","+10,008","105,459",+586,"813,254","+9,673","181,970","3,335","8,500",814,"2,849,307","22,003","129,495,225",North America,118,"1,228",45
13,Germany,"1,055,607","+13,637","16,533",+156,"722,300","+11,300","316,774","3,854","12,582",197,"27,859,242","332,069","83,895,947",Europe,79,"5,074",3
14,Poland,"985,078","+11,486","17,029",+283,"559,429","+21,156","408,620","2,100","26,040",450,"6,211,836","164,207","37,829,214",Europe,38,"2,221",6
15,Peru,"962,530","+2,162","35,923",+44,"893,061","+2,057","33,546",983,"29,025","1,083","5,059,179","152,560","33,161,928",South America,34,923,7
16,Iran,"948,749","+12,950","47,875",+390,"658,292","+9,461","242,582","5,859","11,236",567,"6,081,952","72,028","84,438,345",Asia,89,"1,764",14
17,South Africa,"787,702","+2,563","21,477",+38,"730,633","+7,286","35,592",546,"13,212",360,"5,383,078","90,292","59,618,545",Africa,76,"2,776",11
18,Ukraine,"722,679","+12,978","12,213",+120,"339,378","+4,243","371,088",177,"16,566",280,"4,463,249","102,314","43,623,023",Europe,60,"3,572",10
19,Turkey,"607,628","+29,281","13,558",+185,"400,242","+4,015","193,828","5,011","7,173",160,"18,415,636","217,381","84,715,803",Asia,139,"6,248",5
20,Belgium,"574,448","+3,619","16,461",+122,"37,238",,"520,749",998,"49,476","1,418","5,871,418","505,691","11,610,688",Europe,20,705,2
21,Iraq,"550,435","+1,614","12,224",+24,"480,903","+2,366","57,308",300,"13,560",301,"3,456,825","85,159","40,592,785",Asia,74,"3,321",12
22,Chile,"550,430","+1,489","15,356",+34,"525,212","+1,420","9,862",693,"28,691",800,"5,295,957","276,054","19,184,462",South America,35,"1,249",4
23,Indonesia,"534,266","+6,267","16,815",+169,"445,793","+3,810","71,658",,"1,945",61,"5,655,692","20,587","274,724,505",Asia,514,"16,338",49
24,Czechia,"519,723","+1,074","8,138",+84,"444,406","+2,079","67,179",839,"48,494",759,"3,058,381","285,369","10,717,297",Europe,21,"1,317",4
25,Netherlands,"518,910","+5,585","9,349",+23,,,,518,"30,256",545,"4,043,482","235,761","17,150,737",Europe,33,"1,834",4
26,Romania,"471,536","+5,554","11,193",+148,"348,852","+13,088","111,491","1,250","24,580",583,"4,097,782","213,609","19,183,572",Europe,41,"1,714",5
27,Bangladesh,"462,407","+1,788","6,609",+29,"378,172","+2,287","77,626",,"2,796",40,"2,757,329","16,674","165,371,024",Asia,358,"25,022",60
28,Philippines,"429,857","+2,069","8,373",+40,"398,614","+10,569","22,870","1,449","3,901",76,"5,732,922","52,030","110,185,022",Asia,256,"13,160",19
29,Pakistan,"395,185","+2,829","7,985",+43,"339,810","+2,257","47,390","2,186","1,775",36,"5,475,508","24,592","222,657,494",Asia,563,"27,884",41
30,Canada,"370,278","+5,468","12,032",+56,"294,411","+3,711","63,835",450,"9,775",318,"11,412,572","301,284","37,879,788",North America,102,"3,148",3
31,Saudi Arabia,"357,128",+217,"5,884",+14,"346,409",+386,"4,835",674,"10,193",168,"9,576,718","273,325","35,037,872",Asia,98,"5,955",4
32,Morocco,"353,803","+4,115","5,789",+50,"302,314","+3,740","45,700","1,041","9,539",156,"3,939,350","106,205","37,091,981",Africa,105,"6,407",9
33,Israel,"335,598",+809,"2,864",+10,"323,067","+1,055","9,667",263,"36,488",311,"5,605,071","609,406","9,197,590",Asia,27,"3,211",2
34,Switzerland,"318,290",,"4,650",+29,"222,100",,"91,540",495,"36,665",536,"2,679,348","308,646","8,680,983",Europe,27,"1,867",3
35,Portugal,"294,799","+4,093","4,427",+64,"209,534","+3,259","80,838",536,"28,947",435,"4,353,234","427,449","10,184,211",Europe,35,"2,300",2
36,Austria,"279,708","+4,047","3,105",+87,"216,998","+6,301","59,605",691,"30,983",344,"3,061,067","339,070","9,027,833",Europe,32,"2,908",3
37,Sweden,"243,129",,"6,681",,,,,221,"24,012",660,"3,174,798","313,544","10,125,520",Europe,42,"1,516",3
38,Nepal,"231,978","+1,255","1,479",+25,"212,590","+1,404","17,909",,"7,903",50,"1,727,836","58,864","29,352,794",Asia,127,"19,846",17
39,Jordan,"214,307","+3,598","2,694",+68,"148,572","+5,862","63,041",462,"20,918",263,"2,525,992","246,553","10,245,216",Asia,48,"3,803",4
40,Hungary,"211,527","+6,819","4,672",+156,"55,637","+1,616","151,218",657,"21,920",484,"1,639,076","169,852","9,650,043",Europe,46,"2,066",6
41,Ecuador,"192,117","+1,208","13,423",+52,"169,804","+5,795","8,890",371,"10,821",756,"649,551","36,587","17,753,784",South America,92,"1,323",27
42,Serbia,"169,214","+6,179","1,549",+65,"31,536",,"136,129",252,"19,400",178,"1,760,489","201,832","8,722,563",Europe,52,"5,631",5
43,UAE,"167,753","+1,251",570,+1,"154,185",+736,"12,998",,"16,877",57,"16,640,227","1,674,077","9,939,944",Asia,59,"17,438",1
44,Panama,"164,729","+1,276","3,060",+21,"143,616",+744,"18,053",151,"37,931",705,"900,224","207,290","4,342,825",North America,26,"1,419",5
45,Japan,"144,653","+2,585","2,106",+32,"121,891","+1,632","20,656",462,"1,145",17,"3,488,666","27,619","126,313,687",Asia,873,"59,978",36
46,Bolivia,"144,592",+98,"8,949",+6,"121,280",+230,"14,363",71,"12,317",762,"359,755","30,646","11,738,934",South America,81,"1,312",33
47,Dominican Republic,"143,473",+820,"2,330",+2,"114,818",+501,"26,325",191,"13,171",214,"715,862","65,717","10,893,100",North America,76,"4,675",15
48,Bulgaria,"142,486",+739,"3,814",+65,"48,594",+815,"90,078",430,"20,572",551,"966,426","139,528","6,926,371",Europe,49,"1,816",7
49,Kuwait,"142,426",+231,878,+3,"136,413",+524,"5,135",76,"33,148",204,"1,091,496","254,032","4,296,685",Asia,30,"4,894",4
50,Costa Rica,"139,099",+851,"1,715",+15,"85,639",+150,"51,745",220,"27,203",335,"381,490","74,605","5,113,459",North America,37,"2,982",13
51,Qatar,"138,648",+171,237,,"135,862",+211,"2,549",33,"49,379",84,"1,108,078","394,642","2,807,805",Asia,20,"11,847",3
52,Belarus,"135,008","+1,684","1,151",+8,"113,375","+1,920","20,482",,"14,290",122,"3,253,148","344,321","9,448,019",Europe,70,"8,209",3
53,Armenia,"134,768","+1,174","2,142",+21,"107,364",+885,"25,262",,"45,444",722,"509,029","171,647","2,965,561",Asia,22,"1,384",6
54,Georgia,"132,368","+4,426","1,230",+35,"110,049","+3,721","21,089",,"33,209",309,"1,183,319","296,872","3,985,951",Asia,30,"3,241",3
55,Kazakhstan,"130,865",+826,"1,990",,"116,187",+143,"12,688",221,"6,935",105,"4,206,738","222,935","18,869,833",Asia,144,"9,482",4
56,Lebanon,"126,944","+1,266","1,004",+13,"76,774","+1,824","49,166",352,"18,634",147,"1,615,708","237,165","6,812,579",Asia,54,"6,785",4
57,Croatia,"126,612","+2,919","1,712",+57,"101,838","+3,373","23,062",260,"30,922",418,"744,319","181,781","4,094,595",Europe,32,"2,392",6
58,Oman,"123,484",+905,"1,418",+27,"114,963","+1,107","7,103",107,"23,932",275,"571,472","110,756","5,159,740",Asia,42,"3,639",9
