#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"16,251,635","+131,429","285,091","+1,739","14,513,761","+86,055","1,452,783","26,649",,,,,,Asia,,,
,North America,"15,493,797","+171,910","401,682","+2,432","9,506,777","+55,001","5,585,338","28,954",,,,,,North America,,,
,South America,"10,926,497","+61,936","321,724","+1,292","9,805,546","+36,634","799,227","16,993",,,,,,South America,,,
,Europe,"16,503,012","+229,514","376,916","+5,451","6,726,325","+177,445","9,399,771","29,697",,,,,,Europe,,,
,Africa,"2,134,290","+13,934","51,033",+297,"1,800,758","+9,403","282,499","2,584",,,,,,Africa,,,
,Oceania,"44,531",+112,"1,013",+2,"33,022",+22,"10,496",22,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"61,354,483","+608,835","1,437,474","+11,213","42,386,848","+364,560","17,530,161","104,903","7,871",184.4,,,,All,,,
1,China,"86,490",+21,"4,634",,"81,550",+20,306,7,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,642","310,601",9
2,USA,"13,290,242","+149,609","269,663","+1,414","7,846,890","+40,618","5,173,689","24,396","40,055",813,"187,143,721","564,032","331,796,277",North America,25,"1,230",2
3,India,"9,309,871","+43,174","135,752",+491,"8,717,709","+39,723","456,410","8,944","6,719",98,"135,931,545","98,108","1,385,530,551",Asia,149,"10,206",10
4,Brazil,"6,204,570","+37,672","171,497",+698,"5,528,599","+15,752","504,474","8,318","29,105",804,"21,900,000","102,732","213,176,478",South America,34,"1,243",10
5,Russia,"2,187,990","+25,487","38,062",+524,"1,685,492","+25,073","464,436","2,300","14,990",261,"74,270,930","508,844","145,960,178",Europe,67,"3,835",2
6,France,"2,183,660","+13,563","51,333",+527,"158,236","+1,684","1,974,091","4,018","33,424",786,"20,224,617","309,563","65,332,770",Europe,30,"1,273",3
7,Spain,"1,637,844","+7,991","44,374",+337,,,,"2,815","35,025",949,"21,917,246","468,696","46,762,221",Europe,29,"1,054",2
8,UK,"1,573,279","+16,272","57,030",+497,,,,"1,480","23,126",838,"42,217,206","620,550","68,031,904",Europe,43,"1,193",2
9,Italy,"1,509,865","+28,993","52,850",+822,"661,180","+24,031","795,835","3,846","24,987",875,"21,188,898","350,663","60,425,227",Europe,40,"1,143",3
10,Argentina,"1,399,431","+9,043","37,941",+227,"1,226,662","+9,378","134,828","3,960","30,848",836,"3,775,098","83,216","45,364,803",South America,32,"1,196",12
11,Colombia,"1,280,487","+9,496","36,019",+159,"1,181,753","+6,794","62,715","2,376","25,057",705,"6,245,488","122,212","51,103,609",South America,40,"1,419",8
12,Mexico,"1,070,487","+10,335","103,597",+858,"798,037","+6,521","168,853","3,335","8,267",800,"2,771,888","21,407","129,484,128",North America,121,"1,250",47
13,Germany,"1,005,307","+21,576","15,767",+386,"676,100","+19,600","313,440","3,826","11,983",188,"27,859,242","332,078","83,893,757",Europe,83,"5,321",3
14,Peru,"956,347","+1,888","35,785",+58,"887,019","+2,272","33,543",966,"28,842","1,079","4,999,956","150,791","33,158,162",South America,35,927,7
15,Poland,"941,356","+16,931","15,568",+580,"494,869","+25,342","430,919","2,109","24,884",412,"6,098,759","161,217","37,829,553",Europe,40,"2,430",6
16,Iran,"908,346","+13,961","46,689",+482,"633,275","+7,669","228,382","5,849","10,759",553,"5,955,724","70,541","84,429,534",Asia,93,"1,808",14
17,South Africa,"778,571","+3,069","21,289",+88,"716,444",,"40,838",546,"13,061",357,"5,383,078","90,301","59,612,416",Africa,77,"2,800",11
18,Ukraine,"677,189","+15,331","11,717",+225,"317,395","+9,617","348,077",177,"15,523",269,"4,279,025","98,086","43,625,165",Europe,64,"3,723",10
19,Belgium,"564,967","+3,164","16,077",+139,"36,569",,"512,321","1,071","48,661","1,385","5,720,922","492,746","11,610,276",Europe,21,722,2
20,Chile,"545,662","+1,570","15,235",+97,"521,247","+1,067","9,180",694,"28,445",794,"5,174,795","269,758","19,183,118",South America,35,"1,259",4
21,Iraq,"544,670","+2,483","12,125",+39,"474,376","+2,322","58,169",336,"13,420",299,"3,378,165","83,236","40,585,369",Asia,75,"3,347",12
22,Turkey,"518,399","+29,132","13,014",+174,"388,771","+3,291","116,614","4,711","6,120",154,"17,901,868","211,335","84,708,368",Asia,163,"6,509",5
23,Indonesia,"516,753","+4,917","16,352",+127,"433,649","+3,842","66,752",,"1,881",60,"5,517,392","20,085","274,700,811",Asia,532,"16,799",50
24,Czechia,"511,520","+4,051","7,779",+146,"431,874","+14,217","71,867",839,"47,729",726,"3,000,834","280,003","10,717,135",Europe,21,"1,378",4
25,Netherlands,"503,123","+4,470","9,184",+75,,,,543,"29,336",535,"3,893,908","227,044","17,150,427",Europe,34,"1,867",4
26,Bangladesh,"456,438","+2,292","6,524",+37,"371,453","+2,274","78,461",,"2,760",39,"2,713,202","16,408","165,357,585",Asia,362,"25,346",61
27,Romania,"449,349","+9,005","10,712",+171,"323,514","+9,629","115,123","1,226","23,422",558,"4,011,887","209,120","19,184,618",Europe,43,"1,791",5
28,Philippines,"424,287","+1,382","8,209",,"387,246",+308,"28,832","1,449","3,851",75,"5,626,568","51,070","110,173,066",Asia,260,"13,421",20
