#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"16,511,389","+128,216","288,481","+1,697","14,687,604","+87,928","1,535,304","27,055",,,,,,Asia,,,
,North America,"15,857,030","+167,182","405,834","+1,985","9,722,780","+102,274","5,728,416","29,256",,,,,,North America,,,
,South America,"11,058,219","+73,553","323,909","+1,049","9,880,325","+46,275","853,985","17,082",,,,,,South America,,,
,Europe,"16,921,076","+193,984","386,704","+4,278","7,030,521","+149,077","9,503,851","29,232",,,,,,Europe,,,
,Africa,"2,163,813","+13,392","51,589",+230,"1,825,367","+9,371","286,857","2,590",,,,,,Africa,,,
,Oceania,"44,773",+14,"1,014",,"33,043",+15,"10,716",21,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"62,557,021","+576,341","1,457,546","+9,239","43,180,299","+394,940","17,919,176","105,240","8,025",187.0,,,,All,,,
1,China,"86,501",+6,"4,634",,"81,582",+24,285,8,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,639","310,601",9
2,USA,"13,612,216","+145,232","272,253","+1,215","8,041,239","+95,654","5,298,724","24,647","41,025",821,"191,033,224","575,736","331,806,864",North America,24,"1,219",2
3,India,"9,393,039","+41,815","136,733",+495,"8,801,161","+42,275","455,145","8,944","6,779",99,"138,220,354","99,755","1,385,604,632",Asia,148,"10,134",10
4,Brazil,"6,290,272","+51,922","172,637",+639,"5,562,539","+26,015","555,096","8,318","29,506",810,"21,900,000","102,728","213,184,722",South America,34,"1,235",10
5,Russia,"2,242,633","+27,100","39,068",+510,"1,739,470","+27,296","464,095","2,300","15,365",268,"75,400,000","516,578","145,960,519",Europe,65,"3,736",2
6,France,"2,208,699","+12,580","52,127",+213,"161,137","+1,222","1,995,435","3,777","33,807",798,"20,418,493","312,527","65,333,557",Europe,30,"1,253",3
7,Spain,"1,646,192",,"44,668",,,,,"2,777","35,203",955,"21,917,246","468,695","46,762,319",Europe,28,"1,047",2
8,UK,"1,605,172","+15,871","58,030",+479,,,,"1,417","23,594",853,"42,605,903","626,246","68,033,849",Europe,42,"1,172",2
