#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,Asia,"16,383,173","+131,538","286,784","+1,693","14,599,676","+85,915","1,496,713","26,961",,,,,,Asia,,,
,North America,"15,689,848","+187,127","403,849","+2,144","9,620,506","+110,105","5,665,493","29,037",,,,,,North America,,,
,South America,"10,984,666","+58,169","322,860","+1,136","9,834,050","+28,504","827,756","17,178",,,,,,South America,,,
,Europe,"16,727,092","+224,080","382,426","+5,510","6,881,444","+155,119","9,463,222","29,463",,,,,,Europe,,,
,Africa,"2,150,421","+16,107","51,359",+326,"1,815,996","+15,226","283,066","2,559",,,,,,Africa,,,
,Oceania,"44,759",+228,"1,014",+1,"33,028",+6,"10,717",21,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"61,980,680","+617,249","1,448,307","+10,810","42,785,359","+394,875","17,747,014","105,223","7,952",185.8,,,,All,,,
1,China,"86,495",+5,"4,634",,"81,558",+8,303,8,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,641","310,601",9
2,USA,"13,466,984","+167,818","271,038","+1,352","7,945,585","+95,071","5,250,361","24,464","40,587",817,"189,289,734","570,491","331,801,570",North America,25,"1,224",2
3,India,"9,351,224","+41,353","136,238",+486,"8,758,886","+41,177","456,100","8,944","6,749",98,"137,062,749","98,922","1,385,567,591",Asia,148,"10,170",10
4,Brazil,"6,238,350","+33,780","171,998",+501,"5,536,524","+7,925","529,828","8,318","29,263",807,"21,900,000","102,730","213,180,600",South America,34,"1,239",10
5,Russia,"2,215,533","+27,543","38,558",+496,"1,712,174","+26,682","464,801","2,300","15,179",264,"74,814,909","512,570","145,960,348",Europe,66,"3,785",2
6,France,"2,196,119","+12,459","51,914",+581,"159,915","+1,679","1,984,290","3,883","33,614",795,"20,326,038","311,114","65,333,164",Europe,30,"1,258",3
7,Spain,"1,646,192","+8,348","44,668",+294,,,,"2,777","35,203",955,"21,917,246","468,695","46,762,270",Europe,28,"1,047",2
8,UK,"1,589,301","+16,022","57,551",+521,,,,"1,456","23,361",846,"42,605,903","626,255","68,032,876",Europe,43,"1,182",2
9,Italy,"1,538,209","+28,344","53,677",+827,"696,647","+35,467","787,885","3,782","25,457",888,"21,411,701","354,352","60,424,985",Europe,39,"1,126",3
10,Argentina,"1,407,277","+7,846","38,216",+275,"1,235,257","+8,595","133,804","4,120","31,021",842,"3,830,421","84,434","45,365,935",South America,32,"1,187",12
